id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;"this is one of the greatest films ever made...period. much of this can be attributed to the exceptional writing and much of this can be attributed to the amazing performances in one of the best ensemble casts in film history. in fact, anyone who considers themselves a film buff or a serious student of film cannot say so unless they have seen this film. i also wish all young directors and writers were forced to watch the film as it demonstrates the power of excellent writing and acting. imagine...a film that is great that does not have special effects, was filmed in black and white, and 99% of which takes place in one small room. aside from henry fonda, all the other actors are a virtual ""who's who"" of supporting character actors from the 1950s--and all were at the top of their game in this film. unfortunately, the film has been parodied and copied so many times that the film's originality has been blunted. oddly, one of the parodies of this plot came from the tv show ""the odd couple""--which starred jack klugman who was also in 12 angry men! see this film. and, if it turns out you don't like it, then i suggest you see a psychiatrist!!!";13 April 2007;10;['great', 'much', 'exceptional', 'much', 'amazing', 'good', 'ensemble', 'serious', 'young', 'excellent', 'great', 'special', 'black', 'white', 'small', 'other', 'virtual', 'many', 'odd', 'angry'];0.2488839285714285
1;TheLittleSongbird;there are a few wonderful courtroom dramas out there, anatomy of a murder, to kill a mockingbird and witness for the prosecution immediately springing to mind. 12 angry men is so brilliant, it could very well be the definitive courtroom drama on film. sidney lumet's direction is masterly, and although the action takes place on one set(an actual new york drawing room) there are a huge variety of innovative camera angles and visual set-ups. the screenplay is sophisticated and smart, and the story is compelling and intelligent. the film is also brilliantly made, and the acting is superb. henry fonda especially dominates the film, with an integrity that makes his character so wonderful, but the other actors are wonderful as well, ed begley, jack warden, john fiedler, lee j cobb, rudy bond et al. are all impeccable support to fonda. overall, brilliant courtroom drama. 10/10 bethany cox;10 June 2010;10;['few', 'wonderful', 'angry', 'brilliant', 'definitive', 'masterly', 'actual', 'huge', 'innovative', 'visual', 'sophisticated', 'smart', 'compelling', 'intelligent', 'superb', 'wonderful', 'other', 'wonderful', 'impeccable', 'brilliant'];0.4688492063492064
2;bkoganbing;when i was younger i thought 12 angry men was a near perfect ensemble film with a great group of male players. at that time in those sexist fifties women had an automatic out from jury duty. it was not unusual to have all male juries as we have here. then i served on a few juries and my concepts changed. one of the key scenes of the film is when henry fonda produces a switchblade knife exactly like the weapon the young perpetrator allegedly used in the stabbing death of his father. the second that fonda produced that knife, someone should have yelled for a mistrial. in all 50 states of the united states of america, a standard jury instruction is that the jury is to decide the guilt or innocence of a defendent on the evidence presented at trial. jurors are free to come and go until they are sequestered for the verdict. but they are instructed not to go near the crime scene or gather any independent evidence. i remember being on jury duty and assigned on a case where the crime took place in an apartment that was one block away from one of two routes to a bmt subway stop that took me to work. and those same subways also took me to downtown brooklyn and the court house. i made it a point to take the irt to court for the next two weeks while the trial went on to avoid the temptation of going over to the crime scene. it was a great dramatic effect, but totally at odds with our legal system. i can't believe that something that elementary was left in a film that was purported to be a realistic look at jury deliberations. the juries i was on did debate and in some cases quibble over all the points of the trial. they were a good cross section of the breed brooklynus americanus just as in 12 angry men. if you watch law and order you know how hard the prosecutors job is to get 12 people to convict. still it's a wonderful group of players that participated here. henry fonda and lee j. cobb are the biggest names in the cast. but others like robert webber, john fiedler, martin balsam, and jack klugman got their first real notice in this film. jack klugman's portrayal was a particular favorite of mine among the group. he's from the same slum background as the defendent and some of the knowledge he has from that environment makes for the most compelling argument for the defendent's innocence. we should be thankful that sidney lumet assembled and directed the find cast he did.;3 September 2005;6;['young', 'angry', 'near', 'perfect', 'ensemble', 'great', 'male', 'sexist', 'automatic', 'unusual', 'male', 'few', 'key', 'young', 'second', 'standard', 'free', 'independent', 'bmt', 'same', 'next', 'great', 'dramatic', 'legal', 'elementary', 'realistic', 'quibble', 'good', 'americanus', 'angry', 'wonderful', 'big', 'first', 'real', 'particular', 'same', 'compelling', 'thankful'];0.1677777777777777
3;Leofwine_draca;"a gripping single-location drama and one of the best ever filmed. i put off watching it for many years, partly because i was worried about it not living up to expectations, partly because i enjoyed the anticipation of a future watch. having seen it now, it's every bit as good as i could have hoped for; a tour de force of acting from every cast member, combined with lumet's efficient direction and a truly involving script. i'm a details man myself, a real sucker for getting into the nitty gritty of a subject, and 12 angry men allows you to do just that, getting to the heart of a single subject like never before (and rarely since).";3 December 2021;10;['single', 'good', 'many', 'worried', 'future', 'good', 'efficient', 'real', 'nitty', 'angry', 'single'];0.1821428571428571
4;SnoopyStyle;in a nyc courtroom, a first degree murder case against a poor 18 year old boy with a troubled history has just rested. the 12 men of the jury are sent to decide the seemingly open and shut case. they hold a vote and it's 11-1 guilty. henry fonda is the only not-guilty vote. he's not sure and wants to spend time discussing the case. this is the classic stage play. i say this meaning it's a bunch of characters in a room. the characters don't even have names. lee j. cobb and jack warden have the flashiest roles. henry fonda is essentially the lead as the central heroic role. he has the nobility. the roles are all filled with first rate character actors. this is an actor's movie. the only drawback is the cinematic potential. in the end, it is 12 men around a table in a room. the visual opportunities are limited. despite that, the debate interplay is engrossing and the movie is satisfying.;18 April 2016;7;['first', 'poor', 'old', 'troubled', 'open', 'shut', 'guilty', 'only', 'guilty', 'sure', 'classic', 'flashy', 'central', 'heroic', 'first', 'only', 'cinematic', 'visual', 'limited'];-0.028042328042328
5;Hitchcoc;"this movie came out of an era that i really loved, when ensemble acting was so strong. we had a whole group of character actors who really took seriously the smaller roles that they had. the direction by sidney lumet on this film is outstanding. to take the henry fonda character from the meek, inconsequential juror, simply putting forth a theory, to watching the other men slowly see his way of thinking, is subtlety at its best. lee j. cobb does his burn, done in by impatience and inconvenience. pusing an agenda that fits only him. underlying the entire plot is the defendant whom we never see but get to know through a slow, methodical, yet fascinating series of revelations. it's quiet, suspenseful, and human. it's the true whodunnit without hercule poirot. this is the element that is most obvious; that 12 men can sit in a single room for the entire movie and interact and still keep us totally occupied. enough has been said about this. i just wish that contemporary film making could take a bit more from these masterpieces; let the fine actors that we have do their individual things.";17 February 2006;10;['ensemble', 'strong', 'whole', 'small', 'outstanding', 'inconsequential', 'other', 'good', 'entire', 'slow', 'methodical', 'fascinating', 'quiet', 'suspenseful', 'human', 'true', 'hercule', 'obvious', 'single', 'entire', 'enough', 'contemporary', 'more', 'fine', 'individual'];0.153344671201814
6;mark.waltz;"theater at its best is practically impossible to get down on film correctly. when hollywood gets it right, they create a work of art. in this case, they did it simply, without frills, casting actors who looked real and fell into their individual parts like kids into a swimming pool on a hot summers day. it's the hottest day of the year, and these twelve men must decide the fate of an accused killer. but twelve men means twelve personalities, twelve temperaments, twelve political views, twelve religious opinions and twelve preconceived notions. as the temperature swells, so does the temperament. having been a very reluctant jury foreman, i find myself seeing eye to eye with the shyness of the man forced to lead the proceedings. everybody looks at you to get the ball rolling and hopefully get out of there as quickly as possible. martin balsam, as the foreman, tries to remain dignified and not be overly in control, losing that to one of the jurors who looks at the case in a completely different way than the others. twelve personalities means plenty of neuroses, and in a very short time, seeing what's really going on in the minds of strangers whom you'll never see again. this trial involves young john sacova, accused of killing his own father, and the twelve men must decide whether he gets the chair or not. these men, only identified through their juror number, are completely different, and it's obvious from the start that some of them (john fiedler in particular) vote guilty because they think they have to. only one (henry fonda) votes not guilty, and of course, one of them says, ""there's always one."" there are the aggressive ones certain of guilt, empathetic ones who would like to see the charges reduced, and those who view all young people from certain areas as scum regardless of their situation. at 60 years old, this film shows the same prejudices we face today, yet shows that there is always someone not about to follow the crowd simply because something strikes them as off. it is fonda who will pretty much control the room, although he does it in a subtle way where nobody realizes that he's pretty much taken over. while jury's have changed in 60 years (allowing women to serve being the most obvious change), what hasn't changed in the conflict of trying to understand the truth and to agree with 11 other people about it. fonda goes against what would be allowed today by acting on his own and visiting the neighborhood of the crime, but his passion in figuring out the truth is very admirable. he is quiet in his determination, making this typical fonda but one that fills his soul with humility and integrity. under the direction of novice sidney lumet, the entire cast is outstanding. familiar faces from all walks of show business each get their chance to shine. jack klugman, ed begley, e.g. marshall, jack warden, to name a few. i could easily write something about each of them, but it's worth checking them all out yourself. the one juror who really makes an impression in creating his character is lee j. cobb as the very aggressive juror who is hiding behind similarities to the case, having had a contentious relationship with his son that sparks his instant sense that the defendant is guilty beyond a shadow of a doubt. he was deservedly nominated for a golden globe (as was fonda), but the oscars only acknowledged the film, director and script for nominations. each jury is its own story, and from city to city, nothing changes but the type of case and the date.";20 March 2017;10;['good', 'impossible', 'individual', 'hot', 'hot', 'political', 'religious', 'twelve', 'preconceived', 'reluctant', 'possible', 'dignified', 'different', 'short', 'young', 'own', 'different', 'obvious', 'particular', 'guilty', 'guilty', 'aggressive', 'certain', 'empathetic', 'young', 'certain', 'old', 'same', 'subtle', 'obvious', 'other', 'own', 'admirable', 'quiet', 'typical', 'entire', 'outstanding', 'familiar', 'few', 'worth', 'aggressive', 'contentious', 'instant', 'guilty', 'golden', 'own'];0.0642857142857143
7;kosmasp;i could go on, but i thought i'd stop there before my summary line gets too big. now just because this is a classic movie (and we really should try to use that term lightly, but this movie really deserves it and i'll elaborate on that), does not mean everybody will love it. and if one does not like it, it does not mean they have no taste. they just have different tastes, which is a good thing, because if every human on earth would have the same taste, life would be very boring now wouldn't it? the asnwer is yes, in case you were wondering. but back to this, which begins outside and takes us inside. and it is important that we were outside because we will live inside a building (a room to be more specific) for the most time. there is also a brief shot of the alleged culprit/criminal. after that we get in a room with 12 men, who are quite different from each other. and while it wasn't yet time to give african american a chance in a movie like that (or asian american for that matter), there is a critical racial line that is drawn. if you follow what is happening and who says what or argues in certain ways, you will see that this movie has quite the social commentary in it. now that is one part of this being genius, because it never rubs your nose in it. it never says, this guy who is i.e. from italian descent has a reasonable thing/argument to say. no you just hear the things and see the people interact. and i have not even mentioned the way the movie is shot. and i'm not talking about the black and white cinematography (which is beautifully lit), no. i mean the framing and the set-ups. the editing and how everything flows. you feel like you're inside the room. you feel like this really happens or happened. even the things that seem not staged (someone blocking another person, a shadow, peoples back and more) are in fact staged and masterfully done so. there are way smarter people than me, that can list you many things this movie has done right and i'm sure there quite a few sources online to look for. just listening to the audio commentary can give a small glimpse into certain things too. but again, since this is not something that one might call light entertaining, if it does not appeal to you, then it is so. it does not mean you are wrong and it surely does not mean that this movie is falsely considered a masterpiece!;21 October 2019;10;['big', 'classic', 'different', 'good', 'same', 'boring', 'important', 'specific', 'most', 'brief', 'different', 'other', 'asian', 'critical', 'racial', 'certain', 'social', 'italian', 'reasonable', 'black', 'white', 'more', 'smart', 'many', 'sure', 'few', 'audio', 'small', 'certain', 'light', 'entertaining', 'wrong'];0.0933730158730158
8;classicsoncall;"when i was a store manager for a regional supermarket chain, about thirty years or so ago, our team was presented a developmental seminar featuring ""12 angry men"". breaking into work groups, our task was to watch the film, and at strategically paused moments, predict which of the jurors would be the next to change their verdict from guilty to not guilty. it was an exercise in analytical thinking and observation of human behavior, characteristics that a good manager needs in order to develop a work force toward a common goal. there was actually a group that got all the positions right from one through twelve, which astounded me. watching today, i got stuck again right at the outset, figuring jack klugman's juror #5 would be the first to be influenced by henry fonda's argument. the film is an extraordinary piece of ensemble acting, and if the players weren't that well known back in the day, they have certainly made themselves a name since. almost all have passed on, but to see actors like henry fonda, lee j. cobb, e.g. marshall, martin balsam, ed begley and klugman all in one film is a veritable treat, even apart from the story. but it's the story itself that rivets one's attention to the screen, and the slow, methodical plodding fonda brings to the table with convincing arguments even in the face of his own uncertainty about the case. with a surety that ""the facts are supposed to determine the case"", fonda's character struggles to assure his fellow jurors that the life of an accused killer is worth the effort to consider reasonable doubt. aside from fonda, the two most galvanizing characters are portrayed by lee j. cobb and ed begley. begley, juror #10, who exhibits the most extreme traits of racism and bigotry, forces each of the jurors to confront their own prejudices in an uncomfortable scene where almost every other juror stands up and turns their back on him. cobb, juror #3, has a much more personal investment in the trial, harboring a failed relationship with his own son that colors his view of the world. the really interesting point regarding fonda's character is that he accomplished his mission without ever raising his voice. i don't think i could have done that considering the stakes involved. it's a rare film that can anchor the viewer in one spot for an hour and a half and make time fly by with an intriguing story and realistic dialog. rarer still is the ability to poke a finger at one's own pre-conceived notions of guilt or innocence, forcing the serious viewer to take a seat at the jury table and examine the facts from all sides before voting guilty or not guilty.";30 July 2011;9;['regional', 'developmental', 'angry', 'next', 'guilty', 'guilty', 'analytical', 'human', 'good', 'common', 'right', 'first', 'extraordinary', 'ensemble', 'veritable', 'slow', 'methodical', 'convincing', 'own', 'fellow', 'worth', 'reasonable', 'extreme', 'own', 'uncomfortable', 'other', 'personal', 'own', 'interesting', 'rare', 'intriguing', 'realistic', 'rare', 'own', 'pre', 'conceived', 'serious', 'guilty', 'guilty'];0.0784126984126983
9;lee_eisenberg;"shot in real time, this story of a jury trying to decide whether a young man is innocent or guilty never lets the viewer's attention go. henry fonda plays juror #8, who is convinced the entire time that the defendant is innocent, while everyone else has already called him guilty. throughout the movie, we not only get to hear everyone's opinions on the matter, but also every possibility of the verdict. with ""12 angry men"", sidney lumet brought to the screen the same kind of ""closing in"" feeling that he brought to movies like ""network"". in the end, the issue is not whether the defendant is innocent or guilty; the important point is the process by which the jurors reached their decision. this may be the perfect movie.";6 August 2005;10;['real', 'young', 'innocent', 'guilty', 'entire', 'innocent', 'guilty', 'angry', 'same', 'innocent', 'guilty', 'important', 'perfect'];0.0875
