id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;please understand that despite my summary, i did enjoy this clever film. there was a lot to like. however, little of the film seemed oscar-worthy and it probably should not be in the imdb top 250. i think this is a great case of a very good film that has been prematurely elevated to greatness. as far as the plot goes, with zillions of reviews on imdb for this film, i won't even bother. the acting was very good, the special effects ranged from freakin' amazing (such as digitally removing lt. dan's leg--quite an achievement for 1994) to very, very poor (inexplicably, despite forrest being expertly inserted in many scenes, the one with john lennon was very sloppy and the seams were very, very obvious on the big screen). the negatives included a few problems with continuity (such as the happy face being supposedly invented by gump in the late 70s--it had been around for nearly a decade already) and perhaps too much emphasis on episodes as opposed to story. still, it's a very enjoyable film and one you can't help but like. but winning 6 oscars?! it must have been a very, very slow year.;9 June 2008;8;['clever', 'little', 'worthy', 'great', 'good', 'good', 'special', 'amazing', 'such', 'poor', 'forr', 'many', 'sloppy', 'obvious', 'big', 'few', 'such', 'happy', 'late', 'much', 'enjoyable', 'slow'];0.1826488095238095
1;TheLittleSongbird;"forrest gump, i think is a beautiful film. never too schmaltzy, but there are some genuine tearjerkers like forrest at jenny's grave. the cinematography is stunning, the costumes are lovely and the scenery is gorgeous. the music is also very calm and relaxing, perhaps adding to the tone of this film. the screenplay is well crafted, and the story is simple. but what made this movie was its simplicity; it never tries to be too complex and is consequently moving. the acting is just as impressive; whilst tom hanks's accent is a little awkward in places, my only real criticism of this movie, he gives a truly remarkable performance, though i do think morgan freeman deserved the oscar more for shawshank. robin wright gives possibly the best performance of her career, and sally field is very dignified as forrest's mother. the scene stealer though is gary sinise as lieutenant dan, a very moving and insightful performance. overall, an extremely good movie, i will admit i wasn't sure whether i would like it, but the simple answer is this, i do. 9/10 bethany cox";22 November 2009;9;['forr', 'beautiful', 'schmaltzy', 'genuine', 'forr', 'stunning', 'lovely', 'gorgeous', 'calm', 'relaxing', 'simple', 'complex', 'impressive', 'little', 'only', 'real', 'remarkable', 'more', 'good', 'sally', 'dignified', 'forr', 'gary', 'moving', 'insightful', 'good', 'sure', 'simple'];0.4213235294117647
2;bkoganbing;"when tom hanks won his first oscar for philadelphia in 1993 the film received a total of five nominations. his second oscar for forrest gump came in a film that received more than double that in nominations and awards. if forrest gump did nothing else it solidified hanks's credentials as a serious actor. he would never be doing imitations of his bosom buddies character in films again. it also among other awards also won for best picture and best director for robert zemeckis, richly deserved. the film is huckleberry finn like in its canny observations coming from the man who had an iq we are told of 75. but as forrest also tells us, ""stupid is as stupid does"". and forrest with the hand of an unseen providence comes out a lot better than some of the clever people he meets in life. watching the film once again it occurred to me that mark twain if he couldn't have written this himself would have loved the way zemeckis handled the character of forrest gump. the beauty of huckleberry finn and the secret of its success is that twain got into the mind of a child who recorded all the events around him, a child without too much education. what zemeckis did was get hanks into a child like mind who sees things with amazing clarity stripped of any veneer of pretense. which hanks observes in the people around him and in the events that shape america and himself from eisenhower to reagan. there are two prominent female parts in forrest gump. one is for robin wright who plays the abused child julie as an adult. she is forrest's love and best friend and she takes a different path of life one she chose with more deliberation than hanks. their fates though eventually entwined are radically different. the second major female role is for another two time oscar winner sally field who now is playing matronly parts, a far cry from gidget and the flying nun. she gives forrest the maxims he lives by and in a crisis they turn out to be more than sound bite cliches. another award that forrest gump won is for special effects and an award it didn't win was for gary sinise in the role of lieutenant dan taylor, forrest's commanding officer in vietnam. that's something that does not compute because the special effects were to show gary sinise as a double amputee with both legs lost in vietnam. it's some amazing bit of work no doubt about it, but to honor it without sinise whose performance really brings it off is ridiculous. sinise is the educated one who curses the fate that happened to him, but in the end by just going with the flow he does prosper in the end. sinise lost that year in best supporting actor category to martin landau for ed wood, but i think sinise's performance has had a more lasting impact. to those americans who serve our country it certainly has. gary sinise has devoted a great deal of his life and earned treasure to bring entertainment to our overseas troops in iraq, afghanistan, wherever, becoming a successor to bob hope in that regard. he's gone further than that though, setting up foundations to help civilians in both countries and contributing to numerous charities dealing with war and its aftermath. doing that in my humble opinion gary sinise has become one of the great americans of our brand new millenia, a lot more than just an actor. he's forever now known as lieutenant dan. in the end though the film belongs to tom hanks who joined with spencer tracy as the only two male actors to win back to back oscars for best actor. hanks fascinates us and guides us through this film and when we're done we've seen something very special. if you don't believe me about how good forrest gump is, then watch it for a few minutes and see if you're not sucked in. like forrest's mama says, the film's like life which is like a box of chocolates, you never know what you'll get until you open it.""";13 February 2010;10;['first', 'second', 'forr', 'more', 'double', 'forr', 'serious', 'other', 'good', 'good', 'canny', 'forr', 'stupid', 'stupid', 'forr', 'unseen', 'well', 'clever', 'forr', 'much', 'amazing', 'prominent', 'female', 'forr', 'forr', 'good', 'different', 'more', 'different', 'second', 'major', 'female', 'far', 'forr', 'more', 'sound', 'forr', 'special', 'gary', 'special', 'double', 'amazing', 'ridiculous', 'good', 'lasting', 'great', 'overseas', 'numerous', 'humble', 'great', 'new', 'more', 'only', 'male', 'good', 'special', 'good', 'forr', 'few'];0.2068672606463304
3;Leofwine_draca;"forrest gump is another of those american films that americans seem to love while i feel like i'm missing out on something obvious. i fear that time hasn't been too kind to it since; i'm very much a fan of old-fashioned heartwarmers like it's a wonderful life, but i found this cheesy and far too obviously sentimental. i mean, the scenes in which gump are inserted into history are very funny, of course, and it's nice to see tom hanks playing a very different kind of role. but everything else? give me a break!";10 June 2018;5;['forr', 'american', 'obvious', 'kind', 'old', 'fashioned', 'wonderful', 'sentimental', 'funny', 'nice', 'different'];0.2555555555555555
4;SnoopyStyle;forrest gump (tom hanks) is a simple man with a sweet heart. it's his journey through american history. his childhood friend jenny (robin wright) would travel the underbelly flipside of the same world. his journey is heavily influenced by his mama (sally field), lieutenant dan (gary sinise), and bubba blue (mykelti williamson). director robert zemeckis has added another chapter to the american mythos. it is a magical tale where the good guys win out. that you can rise to the top no matter what handicap you have. that a good heart will enlighten all it touches. it is a tale worthy of frank capra. if i could have a wish, it is a deeper meaning to gump's journey. for example, he's given a chance to comment on the vietnam war but the sound goes out of his mike. i would have like to hear what he had to say. but that might have been asking too much. more than anything, gump is not controversial.;15 November 2013;8;['forr', 'simple', 'sweet', 'american', 'childhood', 'same', 'bubba', 'magical', 'good', 'good', 'worthy', 'frank', 'deep', 'much', 'more', 'controversial'];0.3303030303030303
5;Hitchcoc;"every once in a while, something comes along that hasn't been done before. this movie is one of those things. first of all, we have a principal character whose take on life is one where you don't judge it; you live it. i know he's a film character. it doesn't matter because we use images such as these to inspire us and to give us our own way of treating each day. forrest lets no grass grow under his feet. he is the consummate optimist. he doesn't complain because he sees early on that it does you no good. his life is one adventure after another, in and out of the public eye, but his shyness and demeanor don't ever get to his head. he is the epitome of patience, something sadly lacking in the lives of most americans. he is pushed around by the gusts of time and always lands on his feet. his relationship with a troubled girl is the one consistent thing in his life, and that is also shows his pugnaciousness. there are some commentators and reviewers who call this character stupid. he is a slow processor, but his stability lies in his morality and his consistency. his mother raised him well. tom hanks has become our new jimmy stewart. his roles are about human emotion and dedication. he is the everyman in many ways. obviously, the subject matter has changed, but you can bank on his decision making when it comes to film. the other heroes are the special effects people. they are able to make this work; to create an incredible world for him to function within. the news clips are quite marvelous. i usually put this film in my top ten.";7 April 2006;10;['principal', 'such', 'own', 'forr', 'consummate', 'good', 'public', 'most', 'troubled', 'consistent', 'stupid', 'slow', 'new', 'human', 'many', 'subject', 'other', 'special', 'able', 'incredible', 'marvelous', 'top'];0.2500919913419913
6;Horst_In_Translation;"20 years after ""forrest gump"" came out, i decided to rewatch this one and it was even better than what i remembered from watching it the first time. the film won 6 academy awards in 1995, including best picture, best director (robert zemeckis, ""back to the future""-trilogy, ""cast away"" again with hanks later on) and best actor (2nd win in a row for hanks after ""philadelphia""). and even if it lost ""best score"" to ""the lion king"", the music, especially the main theme, is nothing short of brilliant. it starts right away as we watch a feather fly towards the film's central character. visually and acoustically a feast from minute one. forrest sits on a bench waiting for the bus and tells his story to the other people who are waiting. thank god he did not know that he could just walk to jenny, otherwise we may have never found out about his stories. and as diverse as forrest's life is, as diverse are also the reactions from those people. some sit quietly, others accuse him of being a liar and the old lady finally is captivated by his story. the interesting thing is that gump gets out the photo as evidence not before the man (who accuses him of lying) leaves. he could have proved it easily, but he has nothing to prove to anybody. this is the frame of the story. the real action takes place in the stories gump tells. some true emotional highlights are included: bubba's death and the funeral eulogy to jenny (great hi. reference by the way) at the end. of course, all the moments with his son (played by the very young haley joel osment) are very much worth watching too. and then there is gary sinise who was pretty much on par with hanks during their comedic and dramatic moments together. he did not win the oscar, but was at least as deserving as landau and jackson. with his character, early on, you could never say if he would develop into a friend to gump or stay/become a big antagonist. finally, it turned out to be the former. when they have prostitutes one night at their place, it becomes truly clear for the very first time. gump serves as a great role model to sinise's character for all he achieved despite his limitations. this is not the greatest movie ever made, but there is a certain charm to it that makes it so unique in movie history, possibly because the central character is at least as unique. and finally, there is the forrest-jenny love story which is sweet from start to finish and one of the main reasons why this film will make you laugh, will make you cry and will make you feel for forrest for its almost 2.5 hours . and even in the almost impossible case that you will not remain interested in forrest's story, this film is very much worth watching alone for all the references to past decades (most of all in terms of the movements in society, music and politics). ""forrest gump"" is a must-watch and that's all i have to say about that.";27 November 2014;8;['forr', 'well', 'first', 'good', 'good', 'good', 'good', 'main', 'short', 'brilliant', 'central', 'forr', 'other', 'diverse', 'forr', 'diverse', 'old', 'interesting', 'real', 'true', 'emotional', 'great', 'young', 'worth', 'gary', 'comedic', 'dramatic', 'least', 'deserving', 'big', 'former', 'clear', 'first', 'great', 'great', 'certain', 'unique', 'central', 'least', 'unique', 'forr', 'sweet', 'main', 'forr', 'impossible', 'interested', 'forr', 'worth', 'alone', 'past', 'most', 'forr'];0.2486215538847117
7;kosmasp;take this with a grain of salt and don't be mad about certain things. like one of the first flashbacks to the very beginning that does not come over preachy when it talks about the klan (ku klux klan that is, just in case you think i'm talking about any other klan). maybe sometime in the near future there will be a disclaimer and someone giving this context. but until then, you have to be educated enough yourself to understand and comprehend certain things. and you have to have a certain sense of humor to dig all the coincidences that gump comes across at. it's alike a marathon through many landmarks of the short us history we have behind us. like the watergate scandal, vietnam war, black panthers and so much more. if you can dig all that and go with the flow, than the chocolate box this opens up for you, will taste quite delicious. it had been quite a while since i saw this the first time, but it still worked its charme to say the least. great movie, great actors - you have to be in the right mind set and mood though. and be able to forgive certain things ...;12 February 2021;10;['mad', 'certain', 'first', 'very', 'other', 'near', 'certain', 'certain', 'many', 'short', 'black', 'more', 'delicious', 'first', 'least', 'great', 'great', 'right', 'able', 'certain'];0.2415100250626566
8;classicsoncall;"for anyone who grew up in the turbulent sixties, ""forrest gump"" delivers a clever blend of nostalgia mixed with a uniquely creative view of history as experienced by a presumed to be simpleton. while tom hanks' character recalls his life with a slow tangy drawl, he variously entertains and educates a host of passengers waiting for the next bus to their intended destination. some ignore him, some show interest, one even scorns gump's tale of getting rich in the shrimping business, only to depart before forrest has a chance to pull out his copy of fortune magazine. life can be like that for those unwilling to listen and learn, casting doubt instead of exploring the truth and keeping an open mind. i got a kick out of forrest's string of brushes with greatness - the way he taught elvis how to shake his hips, his unquestioning response to lbj's inquiry about his war injury, and the way his war time experience inspired john lennon to write 'imagine'. there was also that ingenious sequence in which he meets president nixon, then inadvertently tips off the watergate scandal. however the most understated and easiest reference to miss was the clever homage paid to the 1969 film ""midnight cowboy"", when forrest wheels lieutenant dan (gary sinise) across busy city traffic, and is narrowly missed by a taxi cab. lt. dan's response was ""hey, i'm walkin' here"", just the way ratso rizzo did in that earlier film. all that with the 'everybody talking at me' movie theme seamlessly woven in as so many songs of that era were utilized with other aspects of the story. for forrest gump, life is not a pretentious path to wealth or fame, but a never ending quest to learn and be a productive human being. not to mention finding one's own true love. for forrest, life long friend jenny (robin wright) represents an unfulfilled ideal, one he accepts into his heart while still a young schoolboy and nurturing that relationship platonically throughout his adulthood. for her part, jenny represents a youthful quest for experiencing life to the fullest, only to make a series of wrong choices that lead her to the brink of suicide. it's fitting that jenny eventually realizes what forrest knew all along, that they were made for each other even if outward appearances seemed to dictate otherwise. i've seen this film only a couple times in the past, thinking it was good, but only considering it for it's entertainment value. i guess one of the benefits of getting older is the insight one gains with experiencing life a day at a time and steady as she goes. my viewing of the picture today gave me a greater appreciation for the subtleties offered in the film, and leads me to believe the world would be a better place if there were a little more of forrest gump in all of us.";12 June 2011;10;['turbulent', 'forr', 'clever', 'creative', 'slow', 'tangy', 'next', 'rich', 'forr', 'unwilling', 'open', 'forr', 'ingenious', 'understated', 'easy', 'clever', 'forr', 'busy', 'walkin', 'early', 'many', 'other', 'forr', 'pretentious', 'productive', 'human', 'own', 'true', 'forr', 'long', 'unfulfilled', 'young', 'youthful', 'full', 'wrong', 'fitting', 'forr', 'other', 'outward', 'good', 'old', 'steady', 'great', 'well', 'little', 'more', 'forr'];0.1869252873563218
9;lee_eisenberg;"it seems that most people either love ""forrest gump"" or hate it. i am right down the middle. i didn't find this movie to be a masterpiece, but i thought that it was interesting how they did it. the title character (tom hanks) is of course a retarded alabaman who grows up with his single mother (sally field). throughout the movie, he plays a part in almost every major event of the post-wwii era, and in the process meets several distinguished personalities. all the while, he continues trying to get back together with his sweetheart jenny curran (robin wright penn). toeing the line between comedy (he shows his butt to lbj) and drama (his friend bubba gets killed in vietnam), the movie never gets idiotic, although it was intermittently sappy. either way, i liked ""forrest gump"". it was the first best picture winner that i saw in the theaters, but i didn't consider it the best movie of 1994. in my opinion, that distinction goes to the under-appreciated ""shawshank redemption"". tom hanks sure has come a long way since his debut, the slasher flick ""he knows you're alone"".";4 June 2005;6;['most', 'forr', 'interesting', 'retarded', 'single', 'major', 'post', 'wwii', 'several', 'distinguished', 'idiotic', 'sappy', 'forr', 'first', 'good', 'good', 'sure', 'long'];0.1353670634920634
