id;user;comment;date;mark;adjectives;polarity
0;TheLittleSongbird;it is hard to describe the brilliance that is goodfellas. as good as raging bull and taxi driver are, i think goodfellas is martin scorsese's best film and is a textbook example of a great director at the peak of his talents. the film crackles with raw energy and enthusiasm, the film is superbly directed and the final sequence is nothing short of stunning. the script is also excellent with memorable quotes, the story is never less than compelling and the pop and rock soundtrack is winning. the cinematography and detail is immaculate, and the ensemble cast is one of film's finest. joe pesci won an oscar for his performance, and as good as he was, he is perfectly matched by robert deniro and ray liotta. all in all, it is a brilliant film and an instant classic no matter what time, day, week or year. 10/10 bethany cox;9 January 2011;10;['hard', 'good', 'good', 'great', 'raw', 'final', 'short', 'stunning', 'excellent', 'memorable', 'less', 'compelling', 'immaculate', 'ensemble', 'fine', 'good', 'brilliant', 'instant'];0.3642227564102564
1;bkoganbing;the gangster film has been redefined so many times in cinema history it will be interesting to see how it is redefined once again. goodfellas is a milestone film in that regard because just as public enemy and little caesar defined it in the thirties, the godfather trilogy in the seventies and eighties, goodfellas set the standard that all other films including martin scorsese similar casino try to meet. the interesting thing is that martin scorsese is young enough to redefine it again with another work. with ray liotta narrating his own life in crime in a flashback as real life criminal henry hill, martin scorsese offers us one fascinating glimpse of the criminal life in the eisenhower to reagan era. henry hill even as a child got sucked into the criminal life as a kid, as he said all he ever wanted to be was a gangster. tutored by both robert deniro and paul sorvino, liotta takes part in one of the biggest heists of all time of lufthansa airlines at jfk airport during the seventies. goodfellas is the story of the events from henry hill's perspective leading up to the heist and the aftermath. for myself i've never seen the gangster mentality better expressed on screen except maybe by sean connery in family business. liotta and connery operate from the same mindset. if you work hard and hope it pays off in success, you're a dope. if you want something, just take it. when you come right down to it, that's how criminals think, it's the rest of us who are fools. goodfellas was nominated for several oscars, but came away with only one winner, joe pesci in the role of crazy tommy devito. he's another criminal type, one who's driven by a terrible inferiority complex due to his short stature and does terrible things even to his own peers. and those peers don't forget as you see what happens to pesci in goodfellas. this turned out to be a career role for pesci. he's a multi-talented man who's got an incredible range and can play everything from the home alone comedies to stone killers like here in goodfellas or in casino. there's usually a contest in which scorsese fans argue whether casino or goodfellas is better. i happen to like casino, but without the success of goodfellas, casino would not have been made. for a fascinating look at the criminal mindset, goodfellas is an absolute must.;15 February 2007;9;['many', 'interesting', 'public', 'little', 'other', 'similar', 'interesting', 'young', 'own', 'real', 'fascinating', 'criminal', 'criminal', 'big', 'same', 'several', 'crazy', 'criminal', 'terrible', 'short', 'terrible', 'own', 'multi', 'talented', 'incredible', 'alone', 'scorsese', 'well', 'fascinating', 'criminal', 'absolute'];0.06875
2;Leofwine_draca;martin scorsese's unflinching portrayal of life in the mafia is a rightly acclaimed epic, at times funny, depressing but most of all frightening, all the more so because it's based on a true story. basically it's the story of ray liotta's character's rise and fall in the mafia, and the way his relationships change with the various figures there as times come and go. the acting is what makes this film so engaging, and ray liotta excels as the bright young man who eventually becomes a drug addict. his transformation is brilliant as he ages thirty years and the acting choice couldn't have been better. robert de niro is on hand to deliver some real class to the proceedings too, and he's as good as he ever was as the seemingly nice but deadly jimmy. however joe pesci steals the overacting awards with his portrayal of the foul-mouthed psychotic tommy, who spends the film shooting and beating those who offend him. pesci is both funny and frightening as a maniac who doesn't think twice about killing people, and his kinetic performance bursts off the screen in a blaze of fury. the rest of the cast, including liotta's wife and paul sorvino, also put in well-judged and realistic performances. while some people may be put off by the long running length, this is engrossing viewing, as the film charts the various gruesome demises of unfortunate characters (the opening body in the boot being a standout in sheer brutality), liotta's growing paranoia (the helicopter scenes are memorable) and eventual capture, and the characters' changing loyalties. goodfellas was really the final word about gangster life, at least until casino came along.;24 July 2016;10;['funny', 'depressing', 'most', 'frightening', 'true', 'various', 'engaging', 'bright', 'young', 'brilliant', 'well', 'real', 'good', 'nice', 'deadly', 'foul', 'mouthed', 'psychotic', 'funny', 'frightening', 'kinetic', 'realistic', 'long', 'various', 'gruesome', 'unfortunate', 'sheer', 'memorable', 'eventual', 'final', 'least'];0.0626666666666666
3;SnoopyStyle;"henry hill (ray liotta) worked for italian mobsters as a kid. he would climb the ladder as he becomes a big time gangster with his friends tommy devito (joe pesci) and james conway (robert de niro). director martin scorsese brings the nicholas pileggi book 'wiseguy' alive. for an american gangster movie, there is none better than the great acting in this classic. there is no more iconic performance than joe pesci. ""what do you mean i'm funny?"" robert de niro is only the third most outrageous performer. even the constant ray liotta narration worked perfectly, and i'm not usually a fan of narrations. scorsese is a true master. the steady cam entry into copacabana is first rate. (i know they made a big loop around the kitchen.) and this movie starts a bang, literally.";29 December 2013;10;['italian', 'big', 'alive', 'american', 'well', 'great', 'iconic', 'funny', 'third', 'outrageous', 'constant', 'true', 'steady', 'first', 'big'];0.1011904761904761
4;Hitchcoc;"i generally back away from gangster films. it's not my favorite genre. i have trouble with the aggrandizement of this amoral subcult. this, however, is a masterpiece. it's almost documentary in its portrayal of this society of evil. martin scorsese has assembled the cream of the crop of actors who have cut their teeth on the successors of the godfather. i can't begin to do justice to all the actors in this film. what i can attest to is the danger that lurks in every scene. in one scene the hard wired character played by joe pesci (marvelous and crazy) shoot a guy named ""spider"" for not getting him the right drink. the rest of the men must sit there, without compassion, because this is a normal day, with ""normal"" events. there is also the second group. the wives and the families who are stuck in the middle of all this, pretending their husbands work nine-to-five jobs, while they are out hitting people. ultimately, there is robert de niro who is the craziest of all. played with subtle control, he dominates every scene. this is a true masterpiece that's hard to watch.";30 April 2010;10;['favorite', 'amoral', 'wired', 'marvelous', 'crazy', 'right', 'normal', 'normal', 'second', 'crazy', 'subtle', 'true', 'hard'];0.0555194805194805
5;kosmasp;"i re-watched this right before i watched the irishman, kind of made this a double bill. and while i was aware of how great this is, it is always worth revisiting. what a great movie (based on true events and characters - not a bad thing) this is! awesome performances all around and a story that is quite engaging. crime does not pay in the end ... could be one of the messages. it is mesmerizing and you can understand why people are fascinated by it of course. but we get to see quite the brutal and violent face of it. joe pesci and his very (in)famous ""you think i'm funny"" scene is something to behold. dangerous and funny - if you'll excuse the pun. ray liotta and de niro doing their thing and reeling the audience in. i thought i was out, and they get me back in, to paraphrase another famous actor not involved in this. as crime movies go, you can argue this being the best. if not quite up there though ... and the message is clear, even if heightened.";24 May 2020;10;['double', 'aware', 'great', 'worth', 'great', 'true', 'bad', 'awesome', 'engaging', 'brutal', 'violent', 'funny', 'dangerous', 'funny', 'famous', 'good', 'clear'];0.1602941176470589
6;classicsoncall;"the first time i saw ""goodfellas"", i didn't realize it was based on the nichlas pileggi book 'wiseguy'. a lot of stuff seemed so familiar, and of course, the name henry hill was the tip-off, a non-italian in the world of mafioso high rollers and hit men. i read the book shortly after it came out, and the movie seemed to come out very quickly after. i don't remember a whole lot about the book now, but some of the things that stand out are the air france job, the lufthansa heist, and that bit about feeding a guy to a lion. oh yeah, and the burial, exhumation and reburial of billy batts. you have to admit, ""goodfellas"" has the best ba-da-bing opening of all time when tommy (joe pesci) goes berserk on batts in the car trunk and just keeps wailing. i've read a few of the other comments in the reviews section for this picture, and can only chuckle at a few of the naive posters who think that what happens on screen here is forced and not very believable. i can only surmise that they didn't grow up in new york or it's suburb environs, because mob rub-outs were a staple on the front pages of the new york daily news and the post throughout the sixties. usually they more closely resembled michael corleone's first hit in the italian restaurant in ""the godfather"", but nevertheless, this kind of brutality did occur. although i have to say, the way tommy whacked michael imperioli was a little over the top. i guess the most memorable scene in the movie for me was pesci giving ray liotta the business in that 'who's funny' routine. for first time viewers, you're not really sure where tommy's going to take things because he's such a loose cannon. then suddenly, pesci calls himself on it, and you know full well he was playing around with the new kid. the character pesci was portraying, real life mobster tommy desimone, was in fact a young aspiring gangster with psychopathic tendencies specializing in truck hijacking and stolen goods. so for those who think ""goodfellas"" is the best gangster flick ever, fair enough, but putting it up against the first two 'godfathers' is a little bit of a stretch for my money. i also prefer the coen brothers' take on crime in ""miller's crossing"". but this one's based on a true story, and you can't get more real than some of the outrageous things that happened in the life of wise guy henry hill. for an outsider, he could be a real goombah.";3 September 2011;9;['first', 'familiar', 'non', 'italian', 'mafioso', 'high', 'whole', 'good', 'few', 'other', 'few', 'naive', 'believable', 'front', 'first', 'italian', 'little', 'memorable', 'funny', 'routine', 'first', 'sure', 'loose', 'full', 'new', 'real', 'young', 'psychopathic', 'good', 'fair', 'first', 'little', 'true', 'real', 'outrageous', 'real'];0.1549807089462262
7;lee_eisenberg;"watching ""goodfellas"", you certainly get the feeling that martin scorsese had wanted to make this movie for a long time. thank god that he finally got to; it was probably his best movie up to that time. it shows the mafia world through the eyes of up-and-comer henry hill (ray liotta). jimmy conway (robert deniro) is henry's main entry point into the mafia, but tommy devito (joe pesci) is also something else. needless to say, there is a lot of violence (well duh; this movie's about crime), but none of it gratuitous. you may have heard of joe pesci's ""how am i funny?"" speech. let's just say that you have to see it to believe it. in fact, you have to see the whole movie to believe it. and to get a feeling of martin scorsese at his best.";29 September 2005;10;['long', 'good', 'main', 'needless', 'gratuitous', 'funny', 'whole', 'good'];0.1208333333333333
8;gavin6942;"henry hill (ray liotta) is a small time gangster, who takes part in a robbery with jimmy conway and tommy de vito, two other gangsters who have set their sights a bit higher. his two partners kill off everyone else involved in the robbery, and slowly start to climb up through the hierarchy of the mob. i am impressed with how closely the film follows the book, with some lines seemingly coming across exactly. if pileggi's book is accurate, this film is also accurate. (as an organized crime historian, i can confidently say that pileggi's book is among the best-written accounts of mob life ever put to paper.) some say this is scorsese's best film. i tend to prefer ""gangs of new york"", but this could go either way.";6 August 2013;9;['small', 'other', 'high', 'impressed', 'accurate', 'accurate', 'organized', 'good'];0.3264285714285714
9;jboothmillard;"certainly it deserves five out of five stars, and certainly it is probably the most popular film from bafta winning, and oscar and golden globe nominated director martin scorsese. based on a true story, henry hill (ray liotta) admits (with narration) he always wanted to be a gangster ever since he could remember, so he started hanging out with the crime family gangsters in his italian neighbourhood to try and get somewhere. soon enough the boss paul 'paulie' cicero, based on lucchese mobster paul cicero (paul sorvino) lets him help his close associate james 'jimmy' conway (robert de niro) along with young tommy devito (oscar winning joe pesci). as they get older they have become the most well known and ruthless gangsters with billions of dollars of cargo passing through the airport, and many heists. because henry and jimmy are both irish they cannot become a ""made man"", but tommy can. henry's friends become increasingly daring and dangerous, with jimmy hijacking trucks, and tommy with an explosive temper and psychotic violent nature. henry in the story also meets, falls for and marries karen (lorraine bracco). there are many other things i could mention in the whole story, but that'll take ages, so i'll just say that henry and jimmy are caught and imprisoned at one point, tommy murders ""made man"" stacks edwards (a very brief samuel l. jackson), and when he is made one is quite quickly murdered, and in the end of the film henry drops his gangster identity and becomes a normal ""schmuck"". also starring frank sivero as frankie carbone, tony darrow as sonny bunz, dumb and dumber's mike starr as frenchy, frank vincent as billy batts, chuck low as morris 'morrie' kessler, catherine scorsese (martin's real mother) as tommy's mother, frank dileo as tuddy cicero, comedian henny youngman as himself, gina mastrogiacomo as janice rossi, charles scorsese (martin's real father) as vinnie, suzanne shepherd as karen's mother, debi mazar as sandy and michael imperioli as spider. pesci is the perfect and deserved oscar winner for his brutal, psychotics and very convincing role, de niro and liotta are also very good in their roles, a very good film (seeing it again)! it was nominated the oscars for best film editing, best writing, screenplay based on material from another medium and best picture, it won the bafta for best costume design, best editing, best adapted screenplay and best film, and it was nominated for best cinematography, and it was nominated the golden globes for best motion picture - drama and best screenplay. robert de niro number 2 on the 100 greatest movie stars, he was also number 50 on the 100 greatest pop culture icons, and he was number 5 (along with al pacino) on the world's greatest actor, the film was number 55 on the 100 greatest scary moments for the brilliant scene where pesci seems to be getting madder at liotta saying ""how am i funny? (it's scary because you don't know where it's going, till liotta realises it's a joke of course), and it was number 10 on the 100 greatest films. very good!";7 September 2005;8;['popular', 'oscar', 'golden', 'nominated', 'true', 'italian', 'lucchese', 'close', 'young', 'old', 'ruthless', 'many', 'irish', 'daring', 'dangerous', 'explosive', 'psychotic', 'violent', 'many', 'other', 'whole', 'brief', 'normal', 'tony', 'sonny', 'dumb', 'frenchy', 'real', 'frank', 'real', 'sandy', 'perfect', 'deserved', 'convincing', 'good', 'good', 'good', 'good', 'medium', 'good', 'good', 'good', 'good', 'good', 'good', 'golden', 'good', 'good', 'great', 'great', 'great', 'great', 'scary', 'brilliant', 'funny', 'scary', 'great', 'good'];0.33
