id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;"before i discuss this exceptional film, i need to point out that there is a lot of truth to this film if you are looking for what it was like in psychiatric hospitals in the 1950s and into the 60s. the hellish practices and dehumanization was definitely true of many facilities during this era. however, today, many of the horrific abuses are no longer relevant. so, while some will point to this film as proof that psychiatry in general is evil personified (such as the scientologists), for the most part, this isn't the case today. shock treatment is rarely done today and when it is, it's nothing like it is portrayed in the film and it actually has therapeutic value when all else fails. lobotomies are also thankfully a thing of the past. so, while debating the pros and cons of hospitalization and medications is reasonable today, don't assume the film is in any way like psychiatric institutions today--many of which have been closed or severely reduced in size as well as the length of stay of the average patient. the film begins with a cocky sociopathic criminal, mcmurphy (jack nicholson), being sent to a psychiatric hospital from prison. it seems mcmurphy thinks that by ""playing crazy"" he'll have an easier time and shorter stay in a hospital instead of prison. however, over time, he comes to see that a mental hospital is a pretty sick place--particularly when it comes to the crazy staff who run the place. mcmurphy responds to this system by constantly fighting it and trying to subvert their needless rules and control. some of this is very funny (such as the fishing trip) and you can understand why he would fight the oppressive ways of the hospital. in the end, however, the system ultimately crushes him like so many others. the conclusion is certainly something you won't forget! although jack nicholson was great in the film as were the rest of the ensemble cast, the star in the film was louise fletcher. she played the coldest and most awful nurse in the history of film. her tough performance truly made the film. otherwise, if she hadn't been so utterly devoid of humanity, the film just wouldn't have worked. oddly, the film's producers had a hard time accepting her for the job--and she was the last one cast in the film. exceptional in every way--the writing, acting and direction. the only reservation i have regards the misuse of the film by anti-psychiatry groups. however, i am glad the film was made as the abuses of the industry need to be understood and not forgotten.";6 March 2009;10;['exceptional', 'psychiatric', 'hellish', 'true', 'many', 'many', 'horrific', 'relevant', 'general', 'evil', 'such', 'most', 'therapeutic', 'reasonable', 'psychiatric', 'many', 'average', 'cocky', 'sociopathic', 'psychiatric', 'crazy', 'easy', 'short', 'mental', 'sick', 'crazy', 'needless', 'funny', 'such', 'oppressive', 'many', 'great', 'ensemble', 'cold', 'awful', 'tough', 'devoid', 'hard', 'last', 'only', 'anti', 'psychiatry', 'glad'];-0.0331770081770081
1;TheLittleSongbird;what an amazing movie! i cannot begin to describe how good one flew over the cuckoo's nest is, the whole film has the word classic written all over it. the production values are of top notch quality, and jack nitzsche's music is excellent. the film also has a brilliant script, superb direction from milos forman(who also directed one of my other favourite movies amadeus) and a compelling story. the pace is spot on, and there are many memorable scenes especially the very poignant yet harrowing ending. the characters all add a lot to the film, especially nurse ratched who is oppressive and terrifying. the cast are all terrific, jack nicholson is superb in one of his best roles and louise fletcher is just unforgettable as nurse ratched. among the supporting cast are danny devito, christopher lloyd and brad douif, all great. so overall, i cannot fault one flew over the cuckoo's nest, it is considered not only one of the best of the 70s but one of the best ever, and it deserves that reputation. 10/10 bethany cox;23 January 2011;10;['amazing', 'good', 'whole', 'top', 'notch', 'excellent', 'brilliant', 'superb', 'other', 'favourite', 'compelling', 'many', 'memorable', 'poignant', 'harrowing', 'oppressive', 'terrifying', 'terrific', 'good', 'unforgettable', 'great', 'good', 'good'];0.4618421052631578
2;bkoganbing;it took a dozen years for one flew over the cuckoo's nest to make it to the big screen from broadway. in 1962 kirk douglas made his one and only return to broadway to star as randall p. mcmurphy on stage with joan tetzel as his nemesis, nurse ratched. douglas bought the screen rights, but by the time anyone was interested in doing the film version, kirk was too old for the part. that may have been a break for the movie fans because as much as i like kirk douglas, i can't see anyone but jack nicholson doing this role as the free spirited mcmurphy. mcmurphy's a low level career criminal type who statutorily raped a girl as he put it '15 going on 35'. he decides to fake a crazy act while in prison to get out of the work farm he's assigned to. so nicholson's goes to the mental hospital where he meets an odd assortment of people whom he discovers voluntarily checked themselves in there, mainly because it's easier to stay there and not take all your psychological baggage into society. that's a crucial difference that nicholson finds out the hard way, his new friends most of them can pack up and leave anytime they want. he's sent there by the state and the state determines when he's ready to go even if it's past the allotted jail time he was sentenced to. the state in this case is louise fletcher as nurse ratched, one of the great dickensian names ever given a movie character. louise is the ultimate control freak and these people who've shut themselves away from life are her ultimate tools. when nicholson comes in, he hasn't given up on life like the rest of these poor souls, he becomes a threat to fletcher's little empire. it's hard to believe that such a smart guy like mcmurphy would not have known the rules about commitment. still it doesn't detract a bit from the overall quality of one flew over the cuckoo's nest. though the topic is not a fixed one to any era, the script does leave many oblique references to the sixties in the film. the electroshock treatment and the lobotomy operations depicted here were by 1975 no longer in use. they were pretty barbaric and the mental health profession discarded these, but not before too many lives were shattered with them. one flew over the cuckoo's nest swept the main oscar categories, it won for best picture, best director for milos forman, best actor for jack nicholson, best actress for louise fletcher and best adapted screenplay to lawrence hauban and bo goldman. brad dourif was nominated for best supporting actor, but he lost to george burns in the sunshine boys. louise fletcher never got the career mileage she should have for playing nurse ratched. it took her years, but she did get another career role in television as the ruler of bejor, kai winn on star trek deep space nine. one flew over the cuckoo's nest is one timeless classic, it will be popular a millenia from now.;15 January 2009;10;['big', 'interested', 'old', 'free', 'spirited', 'low', 'criminal', 'crazy', 'mental', 'odd', 'easy', 'psychological', 'crucial', 'hard', 'new', 'most', 'ready', 'allotted', 'great', 'ultimate', 'ultimate', 'poor', 'little', 'hard', 'smart', 'overall', 'many', 'oblique', 'barbaric', 'mental', 'many', 'main', 'good', 'good', 'good', 'good', 'good', 'deep', 'timeless', 'popular'];0.1739763708513708
3;Leofwine_draca;"one flew over the cuckoo's nest, an exploration of life inside a mental institute in america in the 1970s, is the definitive exploration of mental illness put on film. it's a classic for a good reason, a movie that has it all: laughs and heartache, drama and pathos, feel-good moments and scenes of pure tragedy. the film is an adaptation of a novel but it's the screenplay which proves so successful, making perfection out of the story elements. jack nicholson is perfectly cast in the edgy lead role, playing the new guy who comes into the ward to shake things up a bit. nicholson always has that wild side to him and he plays it perfectly here. as the antagonist, louise fletcher has a much more rounded character than you might expect; although she's cast as the villain, she's more complex than that, truly convicted that her ways are the best. the film is also notable for the prevalence of familiar faces in the supporting cast, many of whom went on to better things. christopher lloyd, danny devito, brad dourif and will sampson are the stand-out players, many of them so young as to be virtually unrecognisable, but all revealing the greatness to come. the intensity of one flew over the cuckoo's nest builds as the story progresses and the stakes are raised, with the narrative in the end proving to be a life and death battle between humanity and the establishment. it doesn't get much more powerful than that, huh? and the ending, although bittersweet, is sheer perfection realised on film. i can't wait to watch this one again.";21 August 2013;10;['mental', 'definitive', 'mental', 'good', 'good', 'pure', 'successful', 'edgy', 'new', 'wild', 'rounded', 'complex', 'good', 'notable', 'familiar', 'many', 'well', 'many', 'young', 'unrecognisable', 'powerful', 'bittersweet', 'sheer'];0.2653138528138528
4;SnoopyStyle;r.p. mcmurphy (jack nicholson) has been sent to the mental institution for evaluation. he's in prison for statutory rape of a 15 year old girl. he has a history of fights and assault charges. the prison thinks he's faking to get out of work details. inside the mental institution, he finds a whole range of people with disorders, and one controlling nurse ratched (louise fletcher). jack nicholson is a rebellious man who's itching to break out of the oppressive dictatorship of nurse ratched. louise fletcher is completely cold hearted, and projects great interior anger. it's all on her face. this is a movie of great performances from everybody. it's not just nicholson and fletcher. everybody is spot on. there isn't a false note being struck.;31 December 2013;9;['mental', 'statutory', 'old', 'mental', 'whole', 'rebellious', 'oppressive', 'cold', 'great', 'interior', 'great', 'false'];0.0875
5;Hitchcoc;"take a book like ken kesey's which did startle some and had a good following. i read it in a graduate english class. i remember setting it down and saying, ""that's a pretty good book."" it is well written with insights into the characters, but i didn't get the life i did in the movie. throw a good director and some great character actors into a film like this; add jack nicholson, one of the most complex actors on the face of the earth; throw in louise fletcher with her soft spoken acts of terror; and you have a real film. even though there are a few differences between the book and the movie, i actually enjoyed the book more the second time because the movie extended, for me, the depth of the characters. i don't know if kesey would like to hear that, but sometimes it becomes a win win situation. the mental patients (some people choose to call them psychos which isn't fair) are wonderfully alive and full of their own being. nicholson's character comes along and pulls out the humanity from them. i met some of the most wonderful people when i worked at a state mental hospital for a time (i now teach junior high kids, which is a whole other issue). how would you like to be treated, given their setting? medicated and controlled? there was a lot of that where i worked and i always thought, you may as well sentence them to death as treat them as you are. i think things are a bit more enlightened now. i think that maybe the movie helped a bit. this one has always been a top ten film in my book.";30 March 2006;10;['good', 'graduate', 'english', 'good', 'good', 'great', 'complex', 'soft', 'spoken', 'real', 'few', 'second', 'mental', 'fair', 'alive', 'full', 'own', 'wonderful', 'mental', 'junior', 'high', 'whole', 'other', 'top'];0.28425
6;Horst_In_Translation;"""one flew over the cuckoo's nest"" is one hell of a movie. not only does it deliver fully in terms of comedy and drama, but it also managed to win the five big categories at the oscars back in 1976. jack nicholson gives the maybe finest performance from his career and that says a lot. louise fletcher's nurse ratched regularly makes all-time villain lists and this film is considered one of the greatest examples of how the movie is better than the book it is based on, namely ken kesey's novel. so congrats to the writing team goldman/hauben, of which the latter never wrote another screenplay than this one here. and to director milos forman who, now in his early 80s, gave us many more great films during his 50-year-long career. if you take a closer look, you will see that this movie starts the way it ends. with a camera shot outside the institution. at the beginning a car approaches, possibly the one bringing mcmurphy and at the end we see chief leaving to freedom. everything in-between (except the boat trip) takes place behind the walls/fences of the institution. we get to see several sessions with sadist ratched in control, which usually end up way worse for all the inmates than they started. as i mentioned earlier, there's moments when you can never be sure which direction this film is gonna take in the end, comedy or drama. that is also why the final developments are so shocking for everybody. is it an uplifting ending? or a depressing? i'm not sure. you have to decide for yourself. the boat trip was certainly the highlight in terms of lightness. everybody had such a great time with the evil nurse not present. i liked how mcmurphy acted as if catching the fish was something so big, such a huge event to boost the inmates' confidence. apart from that, it is also interesting to see how the employees of the institution act. some are sadist and like to humiliate as well, some almost treat the inmates equally at times, like during that big party scene. obviously, the scene when billy is caught with the woman by nurse ratched is very significant too. you could argue how ratched's own sexual frustration may play a role in the way she reacted ruthlessly and pushed her unstable patient into suicide. she is maybe an even more interesting character than mcmurphy. but is she lead or supporting? i'm not sure about that with mcmurphy being so much in the center of the movie. but maybe that is just due to nicholson's great screen presence. anyway, it's fascinating to see how ratched hides her mean behavior behind alleged seriousness: she allows the poll, but still decides the outcome. she tells that the more insane members count as much as everybody else as they are part of the institution as well etc. and there is a water application (not sure of the exact name) that plays a major part in this movie too, as this is basically the means to freedom, at first only seemingly with mcmurphy, but in the end actually with the chief, also a very interesting character. however, the early significance of this application is also shown as his little demonstration about how mcmurphy at least tried makes everybody brave enough to vote for seeing the baseball game in the face of ratched's evil eye. finally you could argue: did chief do the right thing in the end? or, what if mcmurphy had been the doctor and ratched was one of the patients (as it should be?). would it be better for all the other inmates as they seem to get along with him well. is it even possible with mcmurphy's anti-authority lifestyle and approach. anyway, if you see that this film was made in the 1970s you could certainly applaud it for its liberal attitude towards sex, nudity, alcohol, authorities and possibly even euthanasia towards the end. be warned that this movie has two very intense scenes: first the medical procedure taken on mcmurphy after the first brawl and finally the pillow scene. stay away if you maybe can't handle these. or better look away as it would be a pity if you missed this brilliant film because of that. however, completely in contrast to that: if you have perceived asylums as something creepy (just like many others) so far, you may change your opinion after seeing this film. the inmates all seem fairly harmless compared to the one person in control of them.";10 February 2015;8;['big', 'fine', 'great', 'well', 'latter', 'early', 'many', 'great', 'long', 'close', 'chief', 'several', 'bad', 'sure', 'final', 'shocking', 'uplifting', 'depressing', 'sure', 'great', 'evil', 'present', 'big', 'huge', 'interesting', 'big', 'significant', 'own', 'sexual', 'unstable', 'interesting', 'sure', 'much', 'due', 'great', 'fascinating', 'ratched', 'mean', 'alleged', 'insane', 'sure', 'exact', 'major', 'interesting', 'early', 'little', 'least', 'brave', 'evil', 'right', 'well', 'other', 'possible', 'anti', 'authority', 'liberal', 'intense', 'medical', 'first', 'brilliant', 'creepy', 'many', 'harmless'];0.1301937441643324
7;Prismark10;i rewatched this film after going through some of jack nicholson's earlier performances in five easy pieces and king of marvin gardens. he won an oscar for best actor for this film. it is here we get the 'jack' mannerisms that crop up in later films especially as we see aspects of the 'joker' as soon as he appears on the screen. it is almost 40 years since the film was made. i never realised the film is set in the early 1960s as it had a contemporary setting especially as we see 1970s cars in some of the exterior scenes. the film also has what were at the time unknown actors that have since become stars in their own right. danny devito, christopher lloyd, brad dourif, vincent schiavelli. even the producer michael douglas managed to become an oscar winning actor! randle mcmurphy (nicholson)is a convict who enters a mental hospital thinking it would be easier to do time there than an ordinary prison. he brings chaos in his wake that stirs the other patients. we have had similar themed films done since then and even parodied on numerous occasions. so there is a lot of familiarity to the story even if you have never seen the movie before. mcmurphy's behaviour brings him into conflict with nurse ratched (louise fletcher.) nurse ratched is a cold, icy character who lacks empathy. as mcmurphy mentions she is not playing a straight game. although it could be said that it's mcmurphy that has brought chaos with his wilful rule breaking. her mask slips at the end when she humiliates young billy bibbit (brad dourif) that brings tragedy. one flew over the cuckoo's nest is an example of the edgy, adult 1970s cinema. it dealt with mature themes. it is not an epic like the godfather which deals with a grandiose story. yet it still won the grand slam of oscars with best actor, actress, screenplay, director and film.;1 March 2014;7;['early', 'easy', 'good', 'later', 'early', 'contemporary', 'exterior', 'unknown', 'own', 'oscar', 'mental', 'easy', 'ordinary', 'other', 'similar', 'themed', 'numerous', 'cold', 'icy', 'straight', 'wilful', 'young', 'edgy', 'mature', 'epic', 'grandiose', 'grand', 'good'];0.1155797101449275
8;classicsoncall;"though it may not rigidly adhere to the novel, ""one flew over the cuckoo's nest"" is still a riveting story, moved along powerfully by the roiling battle of the minds between it's principals, randle p. mcmurphy (jack nicholson) and nurse ratched (louise fletcher). when i was much younger i often found myself with the same attitude as many of the reviewers here that find fault with a less than faithful line by line adaptation of the source material. however having seen enough films that stray from the original novel, i chalk it up to the poetic license taken by the screenwriter in an effort to tell an effective story. in my case, i had read ken kesey's novel before the film was made, and then again after seeing the film during it's original theatrical release. honestly, unless you read the book and watch the film virtually back to back, i don't think you'll come away from the movie unimpressed. in fact, the one difference i can recall with clarity between the two concerns an element in the novel that i'm satisfied was changed for the movie. in the book, the character of cheswick drowned during a recreational swim in the pool. with nicholson's first appearance on screen, you can note the glint in his eye that would also serve him well in 1980's ""the shining"". his aggressive behavior has managed to secure confinement to a mental institution instead of a work farm where he quickly understands that his nemesis ratched operates the asylum much like a a rigged carny game. it's interesting to note that throughout the story, ratched's hairdo is uniquely styled to resemble a pair of horns, and she's more than willing to offer mcmurphy and whoever takes his side a devil of a time. my favorite scene of the film relates to my summary line above, when the chief (will sampson) reveals he's not deaf and dumb, and mcmurphy revels in the fact that the indian might be an even bigger con man than himself. it was mcmurphy's cultivating of that relationship along the way that helped the chief understand that he could be as 'big as a mountain'. i can think of no other film ending that winds up being so depressing and uplifting at the same time; you'll want to believe the chief when he tells his friend he's coming with him. it's a chilling moment. with a repeat viewing, take note of the chief's expression when mcmurphy attempts to lift the sink to win a bet in an earlier scene. it's where the seed was planted for the chief's escape. it's a tribute to all the talent involved in this movie that makes each character vivid and memorable, even those that don't have any lines. danny devito, sydney lassick, and christopher lloyd are stand out in their respective roles, for each virtually their first major big screen appearance. brad dourif is probably my favorite modern day character actor, his work as doc cochran in the western series ""deadwood"" is tour de force. interestingly, in addition to 'cuckoo's nest', ken kesey also wrote what remains to this day my favorite novel, ""sometimes a great notion"", telling the story of an oregon lumber family. even though that story is told from the perspective of differing narrators, it moves along seamlessly without confusing the reader, and in many cases, one doesn't even recall the switch taking place! that book was also made into a film with the same name, but you might find it broadcast under an alternate title, ""never give an inch"".";24 January 2007;10;['riveting', 'young', 'same', 'many', 'less', 'faithful', 'enough', 'original', 'poetic', 'effective', 'original', 'theatrical', 'unimpressed', 'satisfied', 'recreational', 'first', 'aggressive', 'mental', 'rigged', 'interesting', 'more', 'willing', 'favorite', 'deaf', 'dumb', 'big', 'big', 'other', 'depressing', 'same', 'chilling', 'early', 'vivid', 'memorable', 'respective', 'first', 'major', 'big', 'favorite', 'modern', 'western', 'favorite', 'great', 'many', 'same', 'alternate'];0.1748958333333333
9;lee_eisenberg;"based on ken kesey's novel, ""one flew over the cuckoo's nest"" is still the ultimate story of rebelling against authority. jack nicholson gives the performance of a lifetime as mental patient randle patrick mcmurphy, resisting the dictatorial nurse ratched (louise fletcher). i just can't describe how great this movie is; you have to see it to understand that. among other things, it disproves the notion that oregon-filmed movies suck (mostly caused by movies like ""the postman"" and ""men of honor""). watching ""ofotcn"", anyone can see why it won the top four academy awards for 1975. you don't even know the definition of ""classic masterpiece"" until you've seen this movie.";15 August 2005;10;['ultimate', 'mental', 'dictatorial', 'great', 'other', 'ofotcn', 'top', 'classic'];0.2069444444444445
