id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;"""pulp fiction"" is a brilliantly crafted film. the many separate vignettes all are quite compelling and fit together wonderfully. and, on top of that, the script and acting are exceptional. and, most importantly, the film is wildly original and very, very stylish. the only reservations i have are minor. first, while this is a very, very good film, i can't see why it is ranked #5 all-time on imdb. this seems wildly overrated and too often more recent films seem to dominated imdb's top 250. second, this film is certainly not for everyone, as in spots it is tremendously violent (like any tarantino film) and should not be viewed by kids or the overly sensitive. because there are so many reviews for the film already, i won't bother to try to give a synopsis of the film or do an in-depth analysis.";13 March 2010;10;['many', 'separate', 'compelling', 'fit', 'exceptional', 'original', 'stylish', 'only', 'minor', 'good', 'overrated', 'recent', 'top', 'violent', 'tarantino', 'sensitive', 'many'];0.2636904761904762
1;TheLittleSongbird;what can i say? this film is amazing, and i would go further and say it is my favourite quentin tarantino film, and one of my favourites of the 90s. the cinematography and scenery are spellbinding, and the soundtrack is brilliant, one of the best soundtracks in a tarantino film actually. the plot is every bit as compelling as that for reservoir dogs, while the dialogue is endlessly quotable and quite hard-boiled. the direction is superb, as are the performances. as excellent as uma thurman, bruce willis and christopher walken are, the film's best actors are john travolta and samuel l.jackson who are unforgettable. pulp fiction also has a wealth of characters and crossplots that is really quite astonishing. all in all, brilliant. 10/10 bethany cox;9 December 2010;10;['amazing', 'favourite', 'tarantino', 'brilliant', 'good', 'tarantino', 'compelling', 'reservoir', 'quotable', 'superb', 'excellent', 'good', 'unforgettable', 'astonishing', 'brilliant'];0.74
2;Leofwine_draca;"quentin tarantino's gallery of grotesques is definitely a strange film to watch. breaking many of the modern rules of a film - there are four interlocking stories instead of one, the subject matters tackled are extremely adult and may not be to everybody's taste - it's a wonder that the film succeeds, but in the end pulp fiction has to be one of the best films of the 1990s. as much as we would like to ignore it, this is what the world is like today, full of drugs, violence and hostility, and it's about time a film faced up to the real world. pulp fiction does just this. i liked three of the stories, but the one involving travolta and thurman left me cold i'm afraid. for a start, it's far too long and needlessly talky (about nothing in particular), and could have been cut down a lot. it seems to take ages to get to the actual horror of the piece (thurman's drug overdose and subsequent heart injection), and when that moment comes, it's over extremely quickly. there is no particularly memorable dialogue here, either. the surrounding story, where the couple hold up a restaurant, is perfectly set up, and the final moments, where jackson holds up the robbers himself, does show some of tarantino's genius as jackson quietly discusses the situation with his would-be robbers in a matter-of-fact way. the story of travolta and jackson trying to clear up their 'mess' is an excellent piece of black comedy, well-timed and with a scene-stealing performance from harvey keitel as the wolf. bruce willis' story is very good too, with some unexpected twists in the tale and some harrowing scenes. there's a catchy jukebox score and an ensemble cast to liven things up too. the cast list is a reading of '90s talent: john travolta in his comeback film; samuel l jackson was relatively unheard-of then; uma thurman proved herself as a woman to be reckoned with; bruce willis lent another world-weary performance to his cv, and none the worse for it; ving rhames also proved himself as an up-and-coming actor; tim roth and amanda plummer were cool and hysterical in equal measures; harvey keitel stole the show as clear-up man; quentin tarantino put in a twitchy cameo appearance which wasn't as nearly as bad as everybody said; eric stoltz was memorable as a stoned drug addict...the list is endless, really. there are other names i miss out in the interests of space. while tarantino's rapid-fire dialogue is as sharp as ever (his decision to have the hit men talk about normal, everyday things like quarter pounders and big macs instead of ""gangster stuff"" was very clever), it is the succession of odd images which really stay in the mind, such as travolta accidentally blowing apart someone's head; willis and rhames fighting, escaping into a spare-part shop and getting attacked; thurman's adrenaline injection and the hysteria surrounding it; and finally roth and plummer getting the tables turned on them. all of these moments help to make pulp fiction an endearing slice of cinema, which i'm sure will be remembered as a minor classic in years to come.";18 October 2016;9;['strange', 'many', 'modern', 'adult', 'good', 'full', 'real', 'cold', 'afraid', 'long', 'talky', 'particular', 'actual', 'subsequent', 'memorable', 'final', 'excellent', 'black', 'timed', 'good', 'unexpected', 'harrowing', 'catchy', 'ensemble', 'liven', 'unheard', 'weary', 'bad', 'up', 'cool', 'hysterical', 'equal', 'clear', 'twitchy', 'bad', 'memorable', 'stoned', 'endless', 'other', 'rapid', 'sharp', 'normal', 'everyday', 'big', 'clever', 'odd', 'such', 'spare', 'adrenaline', 'endearing', 'sure', 'minor'];0.0439189189189189
3;SnoopyStyle;ringo (tim roth) and yolanda (amanda plummer) robs a diner. vincent vega (john travolta) and jules winnfield (samuel l. jackson) are thugs working for marsellus wallace (ving rhames). they pick up a mysterious briefcase but an incident requires cleaner the wolf (harvey keitel). marsellus is paying butch coolidge (bruce willis) to throw a boxing match. vincent is told to entertain the bosses' woman mia (uma thurman). this is quentin tarantino's big breakout. i saw this in the theater and probably even before 'reservoir dogs'. i definitely saw 'true romance' before this but i had no clue who to praise for the dialog in that movie until i put two and two together. this is a cinematic explosion. many tried to copy his style but none exceeded him. it is super cool. it's got the time jumble that adds so much fascination to the movie. again many films try to copy it but few succeeds like this. it has to be one of the iconic movies of the 90s.;18 December 2015;10;['mysterious', 'clean', 'big', 'reservoir', 'true', 'cinematic', 'many', 'cool', 'jumble', 'much', 'many', 'few', 'iconic'];0.2366666666666667
4;Hitchcoc;"it took fifteen years and a subscription to netflix to finally get around to seeing this film. it was well worth the wait. if all one were to see is the byplay between samuel l. jackson and john travolta, it would be worth the price of admission. but this is only part of the incredible effect this film has. i don't even like gore in movies; i avoid it. but tarentino weaves a culture of violence where there is actual humanity. we care about these bad guys. there is scene after scene of people being pushed to the limit. the very idea that the boxer, played by bruce willis, would risk everything to retrieve a watch that has been transported on two occasions, shove up someone's ass, is amazing. and very, very funny. i can't begin to list all the wonderful scenes. the opening dialogue is incredible as trovolta and jackson are on their way to do a hit. they have virtually no respect for human life, yet they, themselves, are very human. the date scene with uma thurman with the adrenaline shot. the crazy's in the pawn shop. and, the effort to clean up the car after blowing away a kid in the back seat, the issue being that a guys wife would come home and be very unhappy to find a dead body and a blood filled car in the garage. it sounds horrible and makes me sound sick. i found fargo to be a hilarious film as well. is there something wrong with me?";7 December 2009;10;['worth', 'worth', 'incredible', 'tarentino', 'actual', 'bad', 'very', 'amazing', 'funny', 'wonderful', 'incredible', 'human', 'human', 'back', 'unhappy', 'dead', 'horrible', 'sick', 'hilarious', 'wrong'];0.0675396825396825
5;Horst_In_Translation;"""pulp fiction"" is an american film from 1994, so this one has its 25th anniversary this year and the director here is of course mr. quentin tarantino, who made this film around the age of 30 and it was his 3rd filmmaking effort already, although most people have not really heard of his first work and only know reservoir dogs from his very early years. anyway, this one here is the one that not only brought him a palme d'or, but also introoduced him to and kept him at the oscars for years, no decades to come. until this day, in fact. so lets take a look at what is most memorable about pulp fiction. i think last night was maybe the third time i watched this movie and the first time at a theater. it's a really long film at over 2.5 hours, but it does feel shorter for sure and that is almost a given as this film is still in the imdb top10 hightest-rated movies, currently at #8, but it was even top5 a few years ago i think. anyway, by now it's been rated by 1.7 million voters. enough said about the movie's popularity. so many have seen it. as for the film's success with awards bodies, i already mentioned something, but it also needs to be said that tarantino won a screenplay oscar, golden globe and bafta for his writing and that is of course a huge trifecta achievement and he was really young back then, so truly nice that he certainly delivered in the decades afterwards. i cannot really think of one filmmaker these days around the age of 30 with such a bold unique approach to filmmaking. you can really see in almost every scene how big of a film nerd tarantino is. and his cast here profited a lot from that too. travolta got an oscar nomination. he deserved it. uma thurman did too and i am not so sure about her. love her in kill bill and recent films where she is a scene stealer with very little screen time when working with lars von trier, but i don't know if her performance here is really good enough for a nomination, even if i am quite fond of her in general. and then there is samuel l. jackson of course. everybody who knows him (only) as nick fury needs to see his works with tarantino. he is so good in here, such a memorable character, easily the best from the film. and he worked a lot with q afterwards too. his turn in the foxx/dicaprio/waltz western is also magnificent. but back to this one here: i would say basically the first scene when he and travolta enter the apartment is when the film is at its best. judging from this one only, i would have given 4 stars out of 5 and said it is one of my favorite films of the year, but sadly it does not stay that great when we have the butch scenes (even if also for willis, it is a contender for career-best) and also the long sequence with travolta and thurman and also the final scene at the restaurant again with slj. now i would like to speak about a few very specific scenes and moments and, in general, inclusions that stayed in my mind here. first of all, the restaurant with all these waiters in costume was amazing. i totally wanna go there. did not even recognize buscemi as buddy holly, even if i knew he worked with q in reservoir dogs. another great actor. same for harvey keitel, even if he is not one of my favorites like buscemi. still mr. wolf is such an icon. when slj's character hears marsellus is sending the wolf, it is so hilarious. we know immediately that dude is a respectable fella who knows exactly what he is doing. i'd be happy to have mr. wolf bark orders at me and he also would have deserved his own film. i think he had a little cameo in another tarantino work. this character has aged really well, just like the film as a whole. then the food: the kahuna burger even makes me as a vegetarian immediately wanna take a bite. and that milkshake at the restaurant! totally worth it. kinda hilarious by today's standards how five bucks is a lot of money for a milkshake back then. but boy is it worth it. even vincent agrees. speaking of vincent, there is a lot i can say about him. not just his funny posture at the wallace residence that has been used for many memes, but also for example how keeping stuff secret when everybody goes their own way is something that occurs twice after somewhat memorable events during which characters are in life-threatening situations. you will know what i mean when you see the scenes. but an act of courage and integrity by one character (even if it is indirectly also about saving one's own life in both scenarios) saves the other person too. as for tarantino: he once again also acts in here just like he did in some of his movies, also the much later one with waltz, slj and leo i mentioned earlier. there his inclusion is probably even more fun than here. but i still loved how he makes fun of himself directing in this one we got here during the water splashing scene near the end when he is basically directing keitel in-character. hilarious moment. coincidence is also a big factor in this film we have here. what if... can be asked on so many occasions. what if the girl (the stunning maria de medeiros) had not forgotten the ring? vega would not have been killed and actually this really put major emphasis on slj's character's decision. had he not retired, could he have been there too, killed butch and saved vega? what if vega had not left the gun in the room? what if butch had never run into marsellus when driving back to his girl. what if all these bullets had not missed the two during the apartment? what if vega had not accidentally killed the boy in the car. no tarantino and keitel in this film then. and they would not have ended at the restaurant where in the end the circle really closes and even if i do prefer chronological films most of the time, there is no denying the lack of chronology here works very well. for example we see vega knowing he is going to die later on. charming moment also between willis and travolta when they meet for the first time. okay, now one aspect and recurring joke i want to talk a bit about too.: vincent vega's toilet breaks. every time he takes a bathroom break, catastrophe ensues outside really. be it mia oding, the guys at the restaurant launching their robbery or butch entering the apartment making toast for himself. or indirectly also the guy at the apartment who storms outside. okay this is not vega taking a toilet break, but still the bathroom is really an aspect there too. this really shows you the bizarre humor tarantino includes in his movies all the time. kinda symbolic how toilets are significant here. and vega apparently also does not have the best bladder or bowel movement with hof often he goes. he even asks for a toilet break at his dealer's apartment after they reached an agreement. hilarious stuff. there are many other scenes about which you will laugh. like for example when we see marsellus with heavy injuries from the accident ""walk"" towards butch in order to kill him and he walks like a zombie basically firing left and right. or the toast moment i just mentioned giving us a parallel on what/who is finished that very moment. or also the anecdote told by walken's character about the gold watch. i mean it is meaningful, even historically meaningful in a sense, but at the same time it is also a reference on a guy hiding a watch for years in his butthole. it's kinda gross humor, but never childish fart humor or something like that. there is so much creativity and even intellect to it that it is a really great achievement and i am happy tarantino received all this awards recognition for his work here. by the way, it is also a rare occurence that he is not the only one credited with the script. finally, still one minor scene that stayed in the head for me, namely how they say when they enter the apartment (where a familiar face from ncis is in btw.) they should have brought bigger guns because there are many thugs inside (also referenced later when there was one more than they expected, so q even delivered in terms of mathematics) and with how vega actually brought a big gun for one enemy (i.e. for a big gun) to butch's apartment, but it wasn't enough, so taking care of your gun and situation is eventually more important than what kind of firearm(s) you bring. and the (non-chronological) ending scene is also memorable not just again for jackson (even if i prefer him laying actual gun vengeance on people), but also because it is pretty much the only scene and sequence in which nobody is injured and people leave the restaurant all safe and sound, despite all the potential violence that could have happened in this scene, which also shows again that slj's character has sort of found his path to god. and there is no bloodshed. this would be all for my review then. i am a bit sad the film did not stay as strong as it started, but it is still a big fun ride and i recommend checking it out to everybody, even if it is not one of my favorites from tarantino. slj's portrayal alone makes it worth watching i think and if you are one of the 3 or 4 on this planet who haven't seen it yet, then totally go for it or i will lay my vengeance upon you! thumbs up.";3 December 2019;6;['american', 'most', 'first', 'reservoir', 'early', 'memorable', 'last', 'third', 'first', 'long', 'short', 'sure', 'few', 'many', 'golden', 'huge', 'young', 'nice', 'bold', 'unique', 'big', 'oscar', 'sure', 'recent', 'little', 'good', 'fond', 'general', 'good', 'memorable', 'good', 'magnificent', 'first', 'good', 'favorite', 'great', 'butch', 'long', 'final', 'few', 'specific', 'general', 'amazing', 'reservoir', 'great', 'same', 'hilarious', 'respectable', 'happy', 'own', 'little', 'tarantino', 'worth', 'hilarious', 'worth', 'funny', 'many', 'secret', 'own', 'memorable', 'own', 'other', 'much', 'late', 'more', 'fun', 'hilarious', 'big', 'many', 'stunning', 'major', 'tarantino', 'chronological', 'most', 'charming', 'first', 'bizarre', 'symbolic', 'significant', 'good', 'hilarious', 'many', 'other', 'heavy', 'right', 'very', 'meaningful', 'meaningful', 'same', 'kinda', 'gross', 'much', 'great', 'happy', 'rare', 'only', 'minor', 'familiar', 'big', 'many', 'more', 'big', 'big', 'enough', 'important', 'non', 'chronological', 'memorable', 'actual', 'only', 'safe', 'sound', 'potential', 'sad', 'strong', 'big', 'worth'];0.283316163003663
6;claudio_carvalho;"the hit-men vincent vega (john travolta) and jules winnfield (samuel l. jackson) work for the powerful mobster marsellus wallace (ving rhames). vincent has lived in amsterdam for three years and is assigned with jules to retrieve a suitcase that belongs to their boss. there is a shootout and vincent and jules do not die because the shots of one gangster fails the target. jules believes that god's hand has interfered in the bullets and he decides to redeem himself from his life of gangster. vincent is assigned by marsellus to go out with his wife mia (uma thurman)while he is traveling and he is scared when she has an od. marsellus pays the boxer butch coolidge (bruce willis) to lose his fight on the fifth round, but butch wins the fight. he flees from marsellus and his gangsters but his girlfriend fabienne (maria de medeiros) forgets to bring his golden watch that belongs to his family for many generations. butch returns to his apartment and he faces vincent first and marsellus later. but an incident with sadistic perverts brings marsellus and butch side by side. ""pulp fiction"" is one of my favorite movies ever. i had seen this movie for the last time on 11 january 2002 and today i have just watched it again. when we compare the nominations for best picture in the 1995 oscar (""pulp fiction"", ""the shawshank redemption"" and the winner and weakest ""forrest gump"") with the movies nominated this year we can see that the oscar winners are not necessarily the best movies of the cinema history. ""pump fiction"" saved the career of john travolta that was in the ostracism and put on the spot quentin tarantino after the cult ""reservoir dogs"". the complex screenplay with four entwined story has shown to the world the brilliance of quentin tarantino. my vote is ten. title (brazil): ""pulp fiction tempo de violencia"" (""pulp fiction: time of violence"")";20 April 2014;10;['powerful', 'scared', 'fifth', 'golden', 'many', 'sadistic', 'favorite', 'last', 'good', 'weak', 'forr', 'good', 'reservoir', 'complex'];0.2583333333333333
7;classicsoncall;"quentin tarantino may have broken the mold with ""pulp fiction"". great actors in great performances, smart dialog, and an eclectic ensemble cast make this one of the rare gems in cinematic history. as a fan of non-linear story telling in movies, i found this one a unique challenge, as you get so absorbed in each of the vignettes that it's difficult to double back and figure out where the circle got broken. you'll have to watch this one more than once, and even so, it never gets boring, with mind blowing sequences like those at jack rabbit slim's and mia's hypo in the chest cure - whoa!!! but don't take my word for it. you'll have to view the film with sufficient time set aside for liberal use of the re-wind button because it's so unlike anything you're likely to see short of another tarantino flick.";20 March 2011;10;['great', 'great', 'smart', 'eclectic', 'ensemble', 'rare', 'cinematic', 'non', 'linear', 'unique', 'difficult', 'more', 'boring', 'sufficient', 'liberal', 'wind', 'likely', 'short', 'tarantino'];0.1353896103896104
8;lee_eisenberg;"""pulp fiction"" has partly gone down in history as the movie that revived john travolta's career, but it's more than that. a look into the lives of several criminals, it's likely to shake up almost anyone. the first time that i ever saw the movie, my dad (who'd already seen it) sent me out of the room for the scene where bruce willis...well, i won't spoil it in case you haven't seen it. also, while we were watching it, i was cracking up at the language - i can't even count how many curse words they used. this is one movie that will probably never get shown on network tv - they would probably have to cut more than half the movie (including samuel l. jackson's wallet). all in all, director quentin tarantino created a real masterpiece here. top-notch acting (that spawned some famous lines) and a great script combined for a real treat. uma thurman's scene might make some people's skin crawl, but if not, then enjoy.";21 October 2005;10;['more', 'several', 'likely', 'first', 'many', 'more', 'real', 'top', 'famous', 'great', 'real'];0.4
9;gavin6942;"quentin tarantino presents his masterpiece: interwoven tales of a washed-up boxer, some bodyguards to powerful crime kingpin, and others who cross their path on this fateful day. featuring an all-star cast: john travolta in his best role (relaunching his dead career), sam jackson in his defining role (still trying to outdo himself fourteen years later), christopher walken, uma thurman, bruce willis, ving rhames, steve buscemi, tim roth and more. (many of these being tarantino regulars, who work well with his idiosyncratic style.) how do i review a film so many people have praised, including my hero roger ebert? i could be a detractor and say its a bad film, but i'd be lying. i love the story and how it all plays out. i still prefer tarantino's ""reservoir dogs"", but this comes in a close second. (sadly, i don't think he ever recovered after he became famous. subsequent films -- ""jackie brown"", ""kill bill"" and ""death proof"" -- all have a certain charm to them, but are not close to being on the level of ""dogs"" or ""pulp"".) although i've seen this movie, or at least bits of it, a dozen times, i think the most recent may be the most interesting. i watched it with a young woman who saw bruce willis and asked who he was. i said, ""bruce willis."" she asked who that was. i listed a few of his bigger films (""die hard"", ""armageddon"", etc.) but she said she had not seen them. how a woman in her 20s does not know bruce willis or any of his movies is beyond me, but it got me wondering: would ""pulp fiction"" be a different film if i didn't recognize the majority of the actors? walken, for example, appeals to me because he's walken. would his monologue be as good if delivered by someone else or by walken when i didn't know him by name? curious thought. if you haven't seen ""pulp fiction"", see it. tarantino is a better writer than a director, but this film offers probably his best directing to date and some superb writing. he is very dialogue-intensive, which i think alienates some viewers (particularly in ""death proof""), but give him a fair shake. this film defined the 1990s and continues to be influential in film today. pay attention and you'll be sure to see why.";18 June 2008;9;['powerful', 'fateful', 'good', 'dead', 'defining', 'more', 'many', 'tarantino', 'idiosyncratic', 'many', 'bad', 'reservoir', 'close', 'famous', 'subsequent', 'certain', 'close', 'least', 'recent', 'interesting', 'young', 'few', 'big', 'different', 'walken', 'walken', 'good', 'walken', 'curious', 'tarantino', 'well', 'good', 'intensive', 'fair', 'influential', 'sure'];0.2233766233766234
