id;user;comment;date;mark;adjectives;polarity
0;TheLittleSongbird;some of schindler's list is very disturbing indeed, with very graphic images on the screen. i thought this film is outstanding. true, it is very long, but the holocaust was a very long and epic event, and the movie needed a long length to convey the harsh realities of the nazi's treatment of the jews. the cinematography was truly excellent, and some of the close ups of people being tortured or dying was enough to make you look away. the direction was taut and focused, most spielburg's movies are good, but don't quite always have an impact on the whole audience. schindler's list is visually disturbing and incredibly moving, and because of this, this is definitely spielburg's best. the acting was phenomenal. both liam neeson and ben kingsley give superb performances, and ralph fiennes is also very chilling in his role. the music by john williams is not only haunting, but also unbearably sad, believe me i was in tears for a lot of this movie. all in all, a truly moving film, that deserves a 10/10. bethany cox.;4 June 2009;10;['disturbing', 'graphic', 'outstanding', 'true', 'long', 'long', 'epic', 'long', 'harsh', 'excellent', 'close', 'enough', 'most', 'good', 'whole', 'disturbing', 'moving', 'good', 'phenomenal', 'ralph', 'chilling', 'sad'];0.1157894736842105
1;bkoganbing;it would not have been possible to have made schindler's list immediately after world war ii. the public was just taking in the magnitude of the holocaust, they might not have believed it. fortunately for the prosecutors at nuremberg and for history the nazis being the anal retentives that they were, made these incredibly meticulous records which scholars and historians have sifted through and we have the whole thing incredibly documented by the perpetrator's own hand. with a fifty year perspective now and the very existence of the state of israel questioned by those who ought to know better, steven spielberg has given us a work for the ages. if you can sit through two incredibly long and sorrowful films one ought to see schindler's list back to back with the diary of anne frank. in the latter film, we see a very ordinary group of people fighting for survival to escape the fate of what we see happened to so many. the fact they were days from possible liberation makes the sorrow of that film all the more poignant. schindler's list is a story of escape from the ultimate fate of six million. oskar schindler played by liam neeson is a german businessman who sees a chance at some nice war profits using some incredibly cheap labor from the concentration camps. he's willing to start a factory in occupied poland with slave labor jews. towards that end he hears of a man who ran a factory among the jews in the newly formed cracow ghetto, itzak stern played by ben kingsley. kingsley agrees to work for him and with him recruiting the labor force, neeson gets his factory going. with that comes responsibility for these people. he fights for them, the original ones and some added to his growing work force. over the over 3 hour film, neeson gradually changes and his concern for his charges becomes humanitarian. he plays a dangerous game, especially with concentration camp commandant ralph fiennes. a man who delights in the total power he's been handed and the liberation from all civilized restraints to exercise barbarism, arbitrary and capricious. fiennes will chill you with his penultimate portrayal of a perfect nazi. let us not forget that schindler himself was a nazi. he did in fact in the end go broke in paying out bribes for special consideration for his charges that meant their very lives. it's also possible that he saw the way the war would end and that those responsible for the holocaust would be held accountable. some have speculated that he did this for no other reason than to bank credit with possible witnesses. if that was the case it certainly worked because he was investigated and not charged with any war crimes. still i'd prefer to believe the testimony of those on the scene including the real life itzak stern. those are the folks that ought to know. schindler's list was nominated for 12 academy awards and won seven including best picture and best director for steven spielberg. liam neeson and ralph fiennes were nominated for best actor and best supporting actor. it deserved every honor it got and i only wish neeson and fiennes were winners as well. it's a film about the holocaust, but it's also a film about the results of dehumanization of a people and when the state completes the process of dehumanization what can be the result. i'm not sure what future work steven spielberg has planned, but he can't top this no way, no how.;16 November 2008;10;['possible', 'anal', 'meticulous', 'whole', 'own', 'very', 'long', 'sorrowful', 'latter', 'ordinary', 'many', 'possible', 'poignant', 'ultimate', 'liam', 'german', 'nice', 'cheap', 'willing', 'original', 'neeson', 'humanitarian', 'dangerous', 'ralph', 'total', 'civilized', 'arbitrary', 'capricious', 'penultimate', 'perfect', 'broke', 'special', 'very', 'possible', 'responsible', 'accountable', 'other', 'possible', 'real', 'good', 'good', 'ralph', 'good', 'good', 'sure', 'future'];0.2368433179723502
2;Leofwine_draca;schindler's list is perhaps one of the ultimate anti-war movies in existence. directed by steven spielberg in a naturalistic, unfussy style, it's a harsh, black and white epic that looks at the extermination of the jews at the hands of the nazis. some humanity is brought to the fold by an excellent liam neeson who plays oskar schindler, a businessman who somehow found himself involved in the situation and who did the right thing. like many spielberg films, this is shamelessly sentimental, but then it can hope to be nothing else given the subject matter. the stirring music combines with the expert direction to make this an effortless watch, complemented by ralph fiennes whose role is the personification of evil.;16 May 2017;8;['ultimate', 'anti', 'war', 'naturalistic', 'unfussy', 'harsh', 'black', 'white', 'excellent', 'liam', 'involved', 'right', 'many', 'sentimental', 'subject', 'expert', 'ralph'];0.1402380952380952
3;SnoopyStyle;oskar schindler (liam neeson) is a social climbing opportunistic womanizing german businessman. he charms important nazis, and gets access to limitless jewish labor. he gets itzhak stern (ben kingsley) as his right hand man, and jewish money to pay for his business. he provides the front. using black market deals and advantageous connections, he becomes rich and powerful. stern works tirelessly to save people. even as the jews are rounded up to plaszow labor camp under the command of unstable amon goeth (ralph fiennes), schindler is able to befriend the mad commander. this is probably the most important movie of director steven spielberg's career. at least it's the most important for him. based on the true story, spielberg uses all his movie making skills to create this iconic movie. the black and white provides starkness and thankfully a little bit of distance from the horrible events. liam neeson and ben kingsley are the perfect duo. ralph fiennes gives a complex performance as the mad commander. the shock of the horrors of the holocaust is expertly done. when i first saw it in the theater, i couldn't help sob a little when schindler breaks down at the end.;23 March 2014;10;['social', 'opportunistic', 'womanizing', 'german', 'important', 'limitless', 'jewish', 'right', 'jewish', 'black', 'advantageous', 'rich', 'powerful', 'stern', 'unstable', 'ralph', 'able', 'mad', 'important', 'least', 'important', 'true', 'iconic', 'black', 'white', 'little', 'horrible', 'perfect', 'ralph', 'complex', 'mad', 'little'];0.0410714285714285
4;Hitchcoc;we need to look at a work of art like this to see ourselves in this movie. this is the result of a regime that no longer saw the worth of the human being. it politicize life. this leads to monstrous treatment of people (because they are not people in their eyes). i saw this film the first week it came out. we were on vacation on hilton head island in south carolina. i remember my wife and i not being able to talk for almost 15 minutes after it was over and then we needed to talk about something else. there are few experiences that can do that to someone. since that time, i've had many others tell me the same thing. why is this movie so much more effective than other holocaust films. first of all, there's something personal about it. we get to know the people, even the bad guys. secondly, the recreation of the death camps is so accurate. then there is a spot of genius, the little girl in the red coat. if anyone wants to complain about black and white, watch this film. we get to see what can be done with shades and shadows. the work of schindler is the work of the heart against great odds. the scene at the end when the holocaust survivors visit the graveyard, is what moves the film. i think that everyone should see this film at some time. then sit down and think about what is being done to people here in our own country.;28 March 2006;10;['human', 'monstrous', 'first', 'able', 'few', 'many', 'same', 'effective', 'other', 'personal', 'bad', 'accurate', 'little', 'red', 'black', 'white', 'great', 'own'];0.133578431372549
5;Horst_In_Translation;"""schindler's list"" is an american mostly english-language movie from 1993 that won best picture that year and took home another six oscars including one for director steven spielberg, for whom it is probably still his career-defining work and with everything that he has under his belt like jaws, indiana jones and much more, this means quite something. this film we have here runs for over 3 hours and i was lucky enough today to catch it on the big theater screen on the occasion of a very special day here in germany. and what can i say. it was a feast. if that is an appropriate term given the heavy subject. i already wrote in the title of my review that this is of course a movie about the holocaust. and it does not even try to hide the horrible deeds done by the perpetrators back then. which means you have several occasions where you see people being shot in the head from the nearest distance and killed in cold blood for what their religion is. but it is also an uplifting movie as the man in the middle of it is oskar schindler, a manufacturer who saved more than a thousand jewish lives during these perhaps darkest days in german (global) history. he is played by liam neeson and this is also his career-defining performance today without a doubt. ralph fiennes was around the age of 30 when he played the main antagonist here, amon goth, and ben kingsley, already an oscar winner back then, is also on board and he looks so different compared to how he looks today, almost older you could say. by the way i did not know this film was based on a book in fact. it's really been a long long time since first time i saw it. but it is as good 25 years after its release as it was back then when i watched it for the first time. i must say i was not too touched throughout the movie as i hoped i could be and as i know many others were, but the last 20 minutes or so are heart-breaking stuff. i am talking about the moment when schindler starts talking to his ""employees"", the guards i mean with that, as well as the jews when he says he will be the hunted from now on. and then there is this powerful march with the haunting music at the very end before the film switches into the now, well into the early 1990s you must say, and we see the survivors, the schindler jews, and their offspring too and this idea of how schindler did not only save these men, but saved entire generations and future children is so incredibly touching that there is no way your eyes won't get wet. i think my entire cinema could have finished drought in africa when the closing credits rolled in. and lets not forget john williams' beautiful beautiful soundtrack / main theme that is among the saddest tunes you will ever hear during a film and i know now already it is one that will never leave my head and ears. it was probably before watching this film the one thing that i have come across many times over the last years/decade and which i remembered better than anything else from this film. i was also glad to see parents with their children in the audience today, kids that were not even close to being born in 1993, so the film's message is carried on to the next generation. well, what can i say. the holocaust subject here in germany is one that is very dominant today also in modern culture and there are constantly new exhibitions about this topic and also many new films still being made. and not just in germany obviously. but i am pretty sure that none of these will ever reach the icon status of schindler's list. other really touching moments for me included the moment kingsley calls the list something like ""ultimate goodness"", when we see earlier on the shoes and jewellery taken from jews before their journey into destruction, the dead girl in the red dress etc. the latter is one you could talk about for ages and write an entire review about in my opinion. what is her significance? well.. i would say this only use of color before the jump forward in time near the end is intended to emphasize that there is an individual human being behind every face and even if they don't stand out thanks to shining garments, we still should not forget that. be it the one-armed men, the woman who knew so much about construction or everybody resting down there below goth's balcony. they all have their stories and their loved ones and they all should not have died. it is very difficult in the presence of these sheer numbers of jews being killed back then, but we shall not forget every one of them deserved to live. and every one of them has their own story. if we lose our empathy and become numb to what happened, then all is lost. and it is merely numbers that mean nothing to us. okay, i mentioned goth already. fiennes was nominated for an oscar for that portrayal and many today say he should have won instead of tommy lee jones, but not having seen the latter's movie, i will not discuss that in detail. but i think it is a surprising loss, even with tlj having the momentum given how much they loved schindler's list. like with the scene i mentioned some lines above, i also think that goth could have deserved his own review. it is so difficult to say what this character is and what he is not. there is no 100% description, it is all about the shades. very fitting the house keeper's description that you never knew what would happen next with him and how you could calm him down. is he an opportunist? a sadist? a psychopath? a racist? probably yes to all that, but then there are these moments when deep down inside him he has affections for the jewish housekeeper before reality bites and he starts attacking her violently. the scene when he tells schindler that he wants to take her with him is telling enough, only to say he should shoot her in the head in the nearest forest. maybe this is the closest he can get to love? tough to say. the relationship between goth and schindler is also interesting. i do think he looks up to schindler for his success with women, his whole aura, his talent to entertain and he wants to be like him instead of being an alcoholic and gambling addict. not many would have gotten away with the hose scene really, but schindler does with the high-profile nazis trying desperately to convince themselves that he is just torturing the jews in the wagons. of course he is not and they know. but they do not have the will and charisma to oppose him. the very first scene at the table when schindler invites the nazis over is already very telling, who is the man in charge. but he needs them too. without being an nsdap member, there is no chance for him to thrive and save a single life. and finally, lets look at the character transformations. some brief words on goth first who believes he is some high-appointed ruler about who lives and who dies thanks to schindler's influence. there is no real goodness in the former. it is all make-believe and when he realizes he shoots the boy in cold blood. but about schindler, there is a lot more to say, also when it comes to his wife and of course his heartfelt final speech about how he could have saved more. at some point, it was never about prestige, about reputation or about business anymore. let alone about money. he gives it all away for his fake factory. this is when he turns into the good human being, which also has a lot to do with stern's influence for sure. so yeah, this is a really long movie, but oh so rewarding and also for me a definite contender for best film of 1993. don't give up on it if greatness is not achieved on all occasions early on. what is waiting for you is absolutely worth it. of course, due to the cruel imagery, this is not a film for the very young ones, but even if it is extremely serious and will break your heart on more than one occasion, there are also really many moments, surprisingly more than i expected where this film will make you smile. these include basically all schindler's exchanges and interactions with women, be it the ones sitting on his desk typing or the ones who want to see him or all the other ones attracted to him and the other way around. or one other scene that stays in the mind very much for me is when he is looking for stern at the train station and how these resilient nazi guards help him quickly after being worried about their own future and having fear of being sent to russia. so yeah, there is probably at least a dozen scenes more that stay in the mind and that i could write a whole chapter about and you will recognize these scenes when you watch them or maybe you will think of completely different scenes than the ones i mean, but that is perfectly fine though. i will spare you all that. but i will not spare you the words that this is an absolute must-see from the historic and emotional perspective and unless you really really hate holocaust movies for whatever reason, you should watch this one. actually, even if you do, you should watch it because this is the one film that can change your mind. go for it if you really haven't seen it so far and with that i am of course speaking in particular to the younger readers. there's a reason this is so high on the imdb top250. and rightfully so. if you are lucky enough like myself to get into a big screen showing, then do not miss out under any circumstances. a gigantic thumbs-up from me for schindler's list.";27 January 2019;8;['american', 'english', 'good', 'more', 'lucky', 'big', 'special', 'appropriate', 'heavy', 'horrible', 'several', 'near', 'cold', 'uplifting', 'more', 'jewish', 'dark', 'german', 'global', 'liam', 'ralph', 'main', 'different', 'old', 'long', 'long', 'first', 'good', 'first', 'many', 'last', 'hunted', 'powerful', 'very', 'early', 'entire', 'future', 'touching', 'wet', 'entire', 'beautiful', 'beautiful', 'main', 'sad', 'many', 'last', 'glad', 'close', 'next', 'dominant', 'modern', 'new', 'many', 'new', 'sure', 'other', 'ultimate', 'dead', 'red', 'latter', 'entire', 'only', 'individual', 'armed', 'difficult', 'sheer', 'own', 'numb', 'many', 'surprising', 'much', 'own', 'difficult', 'fitting', 'jewish', 'near', 'close', 'tough', 'interesting', 'whole', 'alcoholic', 'many', 'high', 'first', 'telling', 'nsdap', 'single', 'brief', 'real', 'former', 'cold', 'more', 'heartfelt', 'final', 'more', 'fake', 'good', 'human', 'sure', 'long', 'rewarding', 'definite', 'good', 'worth', 'cruel', 'young', 'serious', 'more', 'many', 'more', 'other', 'other', 'other', 'resilient', 'worried', 'own', 'least', 'whole', 'different', 'fine', 'absolute', 'historic', 'emotional', 'particular', 'young', 'high', 'lucky', 'big', 'gigantic'];0.1227394041553333
6;mark.waltz;"history has proved that the old saying, ""god makes mad first whom he intends to destroy"", and in the case of nazi ralph fiennes in this steven spielberg masterpiece, that is oh, so true. unfortunately, a lot of innocent people have to pay for that madness in the meanwhile, and that truly adds to the intensity of his madness as it increases and his vileness just gets more and more out of control. on the other end of the spectrum is liam neeson's oscar schindler, a businessman who knows by allowing the nazis to take his jewish workers away, his productivity will suffer. selfish motives keep these innocent people from being sent to the death camps, and as schindler learns the truth about the atrocities going on and becomes closer to the people who work very hard for him, he goes out of his way to keep the nazis from going through with their evil plans. the atrocities you see here are things we can't fathom here in america. innocent children are forced to hide in human waste to avoid discovery. an innocent woman prisoner with a background in architecture is brutally murdered after insisting that a building being constructed is doomed to collapse, after which the evil fiennes simply orders his men to do what she suggested. fiennes picks targets and guns them down, and also has schindler's aged workers killed simply because he considers them too old to contribute. an innocent young girl in a red coat (the only color in this black and white movie) wanders around warsaw as the ghetto is destroyed. neeson almost looses his right-hand man (a magnificent ben kingsley) because of a paperwork mix-up. this culminates in the most daring of escapes from nazi persecution, and that is where neeson realizes the full effect of what's going on, breaking down in a scene that will have you shivering in your seat. i can't watch these movies without the temptation to scream at the nazis on screen. even in the most outlandish propaganda films of the war era, i tended to either applaud loudly or scream in delight ""die, nazi, die!"" as the villain gets their come-uppance, either through brutal murder or the firing squad after a lengthy trial revealed their shame. many of those times, my body was shaking so violently as sobs emerged from me that i was unaware i was capable of. you can't call these feelings manipulation by the direction; spielberg obviously felt a passion for the story he was telling, as if he knows that this can cross over into any race, any culture, any religion. rarely in recent movie history has it been so obvious when a film was released that it would sweep the academy awards, and ""schindler's list"" truly deserved every honor which it received. some stories are so painful that you can't go back and watch them easily; i find that every so often, i need a movie like ""schindler's list"" to remind me of how vile humanity can be, and how one compassionate human being can change the course of history for so many. the finale with real-life ""schindler jews"" honoring their hero is truly awe inspiring and is certainly what you can call triumph over tragedy.";29 August 2014;10;['old', 'mad', 'true', 'innocent', 'more', 'other', 'oscar', 'jewish', 'selfish', 'innocent', 'close', 'evil', 'innocent', 'human', 'innocent', 'evil', 'aged', 'old', 'innocent', 'young', 'red', 'only', 'black', 'white', 'neeson', 'right', 'magnificent', 'full', 'outlandish', 'brutal', 'lengthy', 'many', 'unaware', 'capable', 'recent', 'obvious', 'painful', 'vile', 'compassionate', 'many', 'real'];0.0468837535014005
7;classicsoncall;"probably the most powerful and important film one can watch in this or any lifetime. the nazi atrocity is presented in stark images of horror beyond comprehension and even the power of one's own imagination. the scene that brought that all home to me was the one in which the young jewish boy made his way down into the latrine to escape the nightmare of separation from his family, only to find others had beaten him to it. such desperation, such will to survival. liam neeson, ben kingsley and ralph fiennes are superb in their respective roles. the filming in black and white is only appropriate for an era of history devoid of color. amon goeth (fiennes) crystallizes the nazi sentiment toward an entire race with one line to helen hirsch (embeth davidtz) - ""i realize that you're not a person in the strictest sense of the word"". ""schindler's list"" is hardly the type of film one can consider a favorite, it's reach goes far beyond entertainment. it deserves it's recognition as one of the best films of all time, it's power resides in giving literal interpretation to the message 'never again'.";18 October 2006;10;['powerful', 'important', 'stark', 'own', 'young', 'jewish', 'such', 'such', 'ralph', 'superb', 'respective', 'black', 'white', 'appropriate', 'devoid', 'entire', 'strict', 'favorite', 'good', 'literal'];0.2137254901960784
8;lee_eisenberg;"i can't possibly describe with words how great ""schindler's list"" is. you can't realize it unless you watch it. spielberg not only makes you feel like you're in the middle of it, but you continue feeling that way for hours after watching the movie. liam neeson does a top-notch job as oskar schindler, a man caught between loyalty to his government and the desire to save over 1,000 people. equally good is ben kingsley as itzhak stern, whom schindler saves from getting exterminated, and then helps schindler save more people. and ralph fiennes as amon goeth, a nazi kommandant with plans to rape a jewish woman. like i said, i can't possibly describe how great this movie is. you have to see it to understand it. 11/10.";7 August 2005;10;['great', 'top', 'good', 'more', 'ralph', 'jewish', 'great'];0.5499999999999999
9;gavin6942;"in poland during world war ii, oskar schindler (liam neeson) gradually becomes concerned for his jewish workforce after witnessing their persecution by the nazis. spielberg, unsure if he was ready to make a film about the holocaust, tried to pass the project to several other directors before finally deciding to direct the film himself. indeed, the biggest criticism the film gets is that it came from spielberg, well known for his sentimentality. had another director made the same film, it would probably be considered flawless. one can wonder about the casting of liam neeson as a moravian german, when he clearly is not. but with such a strong acting ability, this can be overlooked. the casting of ben kingsley was brilliant, even if he is not jewish, and it is a shame this role is not the one he is best known for. somehow ralph fiennes got a supporting actor nomination, but not kingsley? the choice to film in black and white makes sense, as spielberg wanted a ""documentary"" feel. does the infusion of red take away from this? some might say so. this film racked up a slew of awards, including several oscars, and this is well-deserved. despite its critics, this will no doubt go on to be considered one of the greatest films of all time, and easily the best to address the holocaust.";4 November 2014;8;['concerned', 'jewish', 'ready', 'several', 'other', 'big', 'known', 'same', 'flawless', 'liam', 'moravian', 'strong', 'brilliant', 'jewish', 'ralph', 'kingsley', 'black', 'white', 'red', 'several', 'great', 'good'];0.2338541666666667
