id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;"i think the audience for ""se7en"" is rather self-selecting. if you don't mind an ultra-gory cop film with a lot of expletives, then you will be delighted. if you are looking for something family-friendly or 'nice', then you wouldn't even consider watching this in the first place. while i don't think i'd put myself in either group, i am not really a bit fan of gore and although i can respect the film, it really isn't a film for me. so why did i watch it? well, with well over 17000 reviews and an overall imdb score that places it near the top of all films, then it's natural i'd get to it sooner or later. as for the film, i won't say much--there are already tons of reviews for this one. suffice to say that the plot is exceptional--complex, shocking and worth seeing. the acting also is quite nice all around. the bottom line is that this is a quality production and if it's the sort of thing you'd normally watch, watch away and enjoy.";20 January 2015;9;['ultra', 'gory', 'delighted', 'friendly', 'nice', 'first', 'overall', 'natural', 'much', 'exceptional', 'complex', 'shocking', 'worth', 'nice', 'bottom'];0.1493055555555555
1;TheLittleSongbird;from david fincher, se7en is a compelling and brilliant postmodern film noir. it is grim and disturbing but it is also very intelligent and daring. what i did love about se7en especially is that it is incredibly stylish, beautiful dark cinematography and dazzling landscapes really do add to the atmosphere. very little of the murders are shown but we are appalled and shocked by what we hear of them, the action is tense and the climax is shattering. there is also an intelligent screenplay, a clever plot telling of a vicious serial killer who murders his victims in a gruesome way to atone for the sins(gluttony, greed, sloth, lust, pride, envy and wrath)he deems them to have committed and excellent direction. the acting is also superb, morgan freeman gives another brilliant performance as the disillusioned detective and brad pitt is great as mills in a more meatier role than he has ever done. gwyneth paltrow makes a small yet significant appearance as mill's uneasy wife, while kevin spacey superbly delivers equally superb dialogue as john doe despite the fact he isn't in the film much. overall, a brilliant film, with adept performances, direction, style and ambition. 10/10 bethany cox;18 May 2010;10;['compelling', 'brilliant', 'postmodern', 'grim', 'disturbing', 'intelligent', 'daring', 'stylish', 'beautiful', 'dark', 'dazzling', 'little', 'appalled', 'tense', 'intelligent', 'clever', 'vicious', 'serial', 'gruesome', 'excellent', 'superb', 'brilliant', 'disillusioned', 'brad', 'great', 'meaty', 'small', 'significant', 'uneasy', 'superb', 'brilliant', 'adept'];0.2568333333333333
2;Leofwine_draca;two very different films about serial killers ruled hollywood in the 1990s: 1991's silence of the lambs, featuring anthony hopkins as the infamous hannibal 'the cannibal' lecter, and this, david fincher's masterpiece about a pair of new york cops tackling a perverted killer inspired by the seven deadly sins. se7en is an extremely stylish film that ended up inspiring dozens of copycats like resurrection and the bone collector: all of the films share a gritty-grimy style with depictions of unflinching violence, seedy backdrops and sleazy characters. whichever way you look at it, se7en is a great movie. it has a pair of sterling performances from relative newcomers brad pitt and morgan freeman, playing stock cliched characters: the young rookie and the older, wiser cop on the verge of retirement. both pitt and freeman overcome their characters' conventions to make them believable people. their quarry is kevin spacey, giving one of his traditionally disturbed portrayals as a sociopath with no inklings of good or evil. much of the film is made up of police procedural elements, with the investigation of crime scenes, the following of leads and at least one fantastic chase sequence halfway through in which fincher's direction is top notch. it's also blessed with a gruesomely dark twist ending which stays in your head forever afterwards. for what it's worth, i'd pick se7en over silence every time.;13 March 2012;8;['different', 'serial', 'infamous', 'perverted', 'deadly', 'stylish', 'gritty', 'seedy', 'sleazy', 'great', 'sterling', 'relative', 'cliched', 'young', 'old', 'wise', 'believable', 'good', 'much', 'procedural', 'fantastic', 'top', 'notch', 'dark', 'worth'];0.259375
3;SnoopyStyle;somerset (morgan freeman) is a wearied homicide detective. mills (brad pitt) worked hard to transfer to the troubled precinct. he's married to tracy (gwyneth paltrow). there is a serial killer on the loose delivering his sermon on the seven deadly sins. somerset is tired of the city. mills is eager to investigate. director david fincher has filled with beautiful darkness. it's more than just the gruesome murders. it's the rain, the music score and the grungy setting. fincher has weaved together an artistic masterpiece. freeman is the perfect grizzled veteran. brad pitt is a terrific eager newcomer. there are surprising comedy sprinkled in. the final twist is simply cinematic history. the big line is awesome. pitt delivers it perfectly with so much heart aching pleading. some do deride its grotesque gloom but that's like complaining about a movie being too funny or too exciting. this is suppose to be dark and it achieves it.;15 May 2015;9;['wearied', 'troubled', 'married', 'serial', 'loose', 'deadly', 'tired', 'eager', 'beautiful', 'more', 'gruesome', 'grungy', 'artistic', 'perfect', 'brad', 'terrific', 'eager', 'surprising', 'final', 'cinematic', 'big', 'awesome', 'much', 'grotesque', 'funny', 'exciting', 'dark'];0.1319163292847503
4;Hitchcoc;"i was totally taken with this film. it's not the usual suspects, but it is really something. unfortunately, i felt almost sick when i was finished watching it. the madness of the murders and the general philosophical sickness that carries it along put it out of reach for some of us. i can't imagine the world portrayed here. great cast. i really thing brad pitt is excellent; and, of course, morgan freeman is his usual complex self. once again, however, in a relatively brief appearance, kevin spacey steals every scene he's in. it's that unflappable delivery of his. no matter what is said or done, he anticipates it. the murders are hideous. the camera doesn't show the most gory details (which i appreciated), but they are sold to us through outside factors. i missed this the first time through and wanted it to be part of my movie-going experience. i don't think i could ever watch it again.";9 March 2010;8;['usual', 'sick', 'general', 'philosophical', 'great', 'excellent', 'usual', 'complex', 'brief', 'unflappable', 'hideous', 'gory', 'outside', 'first'];0.0071428571428571
5;Horst_In_Translation;"""seven"" or ""se7en"" is an american movie from over 20 years ago already that features four academy award winners playing the main characters: morgan freeman, brad pitt, gwyneth paltrow and kevin spacey, even if none of them had an oscar when this film was made. spacey won the very same year though and it was an amazing 1995 for him. fittingly, these over 2 hours here are at their best in the last half hour when he visibly enters the picture. i am fairly certain that the greatness of these last 30 minutes clouds many people's judgments about this movie. lets be honest. the first 1.5 hours are really solid, but not great. the idea of letting a killer commit his murder in style of the seven deadly sins is a nice one, but the execution in detail left me wanting for more of course. i am not the greatest pitt or paltrow fan, but they play their characters well here. and morgan freeman is a delight as always for sure. i personally believe that if they had managed to keep the first three quarters of the film more essential and possibly kept the movie 15-20 minutes shorter, this may have been an even more rewarding watch. the director is david fincher by the way and after a prolific career of music video direction (and aliens 3), this film here was his big breakthrough that turned him into one of the a-list directors in hollywood, which he still is today. nonetheless, i have to be a bit critical about this film here. imdb has it almost in the top20 films of all time based on the rating and that is very exaggerated. the critics consensus seems more appropriate. it is probably among the 10 best films of 1995, but nowhere near being an all-time great film. as much as i liked the final chapter here, i would need to be very generous already to call it an all-time great ending. still, the film is worth seeing at least once for sure and i recommend it, especially if you like the actors.";23 March 2016;6;['american', 'main', 'same', 'amazing', 'good', 'last', 'half', 'certain', 'last', 'many', 'honest', 'first', 'solid', 'great', 'deadly', 'nice', 'more', 'great', 'sure', 'first', 'essential', 'short', 'rewarding', 'prolific', 'big', 'critical', 'exaggerated', 'appropriate', 'good', 'great', 'final', 'generous', 'great', 'worth', 'least', 'sure'];0.2913419913419914
6;nogodnomasters;i have seen this film mentioned multiple times in other movies, i decided i needed to view this film so i can catch innuendos in others. morgan freeman is a retiring city detective. he takes brad pitt under his wing as a serial killer is on the loose, killing people in theme with the seven deadly sins. good film with a decent howard shore sound track. i did catch a nin rift during the credits. i thought the ending was predictable. and personally i would have used the alternate note book ending they never filmed, because that was what i expected. at two hours long, we still don't get to know any history or the mind of the killer. that would have been nice. guide: f-bomb, male nudity.;7 December 2018;10;['multiple', 'other', 'brad', 'serial', 'loose', 'deadly', 'good', 'decent', 'sound', 'predictable', 'alternate', 'nice', 'male'];0.1464743589743589
7;kosmasp;those who try to punish sinners are not saints either of course. the movie who was showing people things that are going wrong with our society, is a showcase of brad pitt. putting morgan freeman next to him was working more than fine. but it's the mystery surrounding the who is behind it all. the journey we take, with a conclusion that will leave you devastated (even those who knew or were able to see where it was going) to say the least. fincher is showing he knows how to direct, edit and set the mood for a film. this is as assured as it gets and one of the best thrillers the 90s produced for the movie business. i won't go into the story, but if you like suspense, you will be more than happy to watch this (some scenes are tough to watch mind you!);11 July 2015;9;['wrong', 'brad', 'fine', 'able', 'least', 'good', 'more', 'happy', 'tough'];0.2159722222222222
8;classicsoncall;"the formula has been used before, an experienced and world weary detective (morgan freeman) is assigned a veritable rookie (brad pitt) as a partner to solve a crime that's about to evolve into a serial murder case. that's pretty much where the similarities end however, as director david fincher takes us on a compelling, if not sordid ride into the belly of a cinematic beast. based on the theme of the seven deadly sins, ""se7en"" is a film you're not likely to forget, even if it's for all the wrong reasons. though the sin of gluttony opens the story with the gruesome imagery provided by a coroner's description of the crime, the horror only builds as detectives somerset (freeman) and mills (pitt) follow the taunting trail of a yet to be identified killer. as the story progresses, the method of the murderer involves some of the most disgusting ways to dispatch a victim, and it's the discomfort the viewer has in imagining these crimes that play such a visceral part of the film's experience. for all of the picture's implied gore and violence, the most riveting sequence of the film takes place after john doe gives himself up, leaving the viewer to wonder how this is all going to play out. i must say, kevin spacey can be a harrowing presence in a film, and the way he portrays the serial killer is a study in implied menace. his demonic influence overpowers the ride out to the field where he's about to unload both barrels on the pair of detectives. his envy of the lawmen's skill compels the final deadly sin of wrath to bring the picture to a gut wrenching conclusion. this film is not for the faint of heart, and definitely not for someone who likes their crime thrillers wrapped up neatly with a bow by the time it's over. somerset certainly knew that ""this isn't going to have a happy ending"", but little could he have expected the twisted result of john doe's final act of desperate, solemn fury.";11 September 2011;9;['experienced', 'weary', 'veritable', 'about', 'serial', 'cinematic', 'deadly', 'likely', 'wrong', 'gruesome', 'disgusting', 'visceral', 'riveting', 'harrowing', 'serial', 'demonic', 'about', 'final', 'deadly', 'happy', 'little', 'twisted', 'final', 'desperate', 'solemn'];-0.1298076923076923
9;lee_eisenberg;"you have probably never seen a particularly ugly murder until you see ""se7en"". brad pitt and morgan freeman play det. david mills and det. william somerset, respectively, who are investigating a series of murders involving the seven deadly sins. no person can possibly describe how awful and vicious it is, what the murderer has done to these people. some scenes are likely to make you squirm. to avoid spoiling the movie, i won't write about them, but if you watch the movie, you'll probably recognize them. what the murderer does to the gluttony victim is especially ugly; you might not want to eat anything after watching that scene. ""se7en"" may be one of the most disturbing movies that you ever see, but it's good nonetheless.";8 July 2005;10;['ugly', 'deadly', 'awful', 'vicious', 'likely', 'gluttony', 'ugly', 'disturbing', 'good'];-0.4571428571428572
