id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;while this movie is probably the most widely recognized film of the director kurosawa, it isn't my personal favorite--though it's close. but considering how many wonderful films he made and how this movie sparked the magnificent seven films, its impact and importance can't be ignored. and i would have to say that it deserves all the attention--it's just too bad that other films like yojimbo, sanjuro and the bad sleep well just haven't gotten all the attention this film has. actually, it['s strange that i am getting around to reviewing this film now--as i have seen it several times and thought i'd already reviewed it. the film begins in the feudal period in japan in a small town that is being terrorized by a gang. these thugs periodically come to strip the people of what little they have as well as their dignity--much like locusts. eventually, the gang's demands are so extreme that it appears they have no choice but to fight back when they next return--otherwise they face starvation. the problem is that these are simple peasants and they haven't got a prayer against ronin (i.e., samurai who have no master). eventually, townspeople get the idea to bring in some of their own ronin to fight against the evil gang. at this point, the film concentrates on the seven men--who they are, their motivations, etc. it is here that the film really excels. in fact, probably the least exciting portion of the film is the eventual battle between the forces. an excellent character study and a film with so much to love--great acting, direction and a dandy and exciting script.;2 August 2007;9;['personal', 'close', 'many', 'wonderful', 'magnificent', 'bad', 'other', 'bad', 'strange', 'several', 'feudal', 'small', 'little', 'extreme', 'next', 'simple', 'ronin', 'own', 'evil', 'exciting', 'eventual', 'excellent', 'much', 'great', 'dandy', 'exciting'];0.118125
1;TheLittleSongbird;as much as i do love ran, the hidden fortress and throne of blood, it was seven samurai that i love most of akira kurasawa's films. as with all kurasawa's films, it is incredibly well made with authentic scenery that would give meaning to the term epic and the camera work is truly spectacular. this is especially true in the final battle, with inspired use of moving and multiple camera, precise editing, telephoto lenses and variegated film speeds. as always with kurasawa, the direction is consistently brilliant. add to that a stirring score from fumio hayasaka and a thoughtful script and you have more reasons why seven samurai is so good. the story unfolds slowly, but never felt dull to me and is never hampered by the three-and-a-half-hour running time. plus seven samurai is interesting for being one of the first few to utilise the plot element of recruiting/gathering of heroes into a team to achieve a goal, seen especially with when the audience is first introduced kambei. the action is spectacular and looks even better with the use of multiple cameras from various angles, and any humanity seven samurai has, and it does have a lot, is shown in a poignant way. the cast are excellent, with takashi shimura and especially toshiro mifune the standouts. overall, of a resume of one of the greatest directors who ever lived, responsible for many wonderful movies(and i'd say that seven samurai and ran are among the best movies ever made) seven samurai stands tall. one of the easiest 10/10s i've ever given. bethany cox;9 June 2012;10;['hidden', 'most', 'authentic', 'epic', 'spectacular', 'true', 'final', 'multiple', 'precise', 'brilliant', 'thoughtful', 'more', 'good', 'dull', 'interesting', 'first', 'few', 'spectacular', 'well', 'multiple', 'various', 'poignant', 'excellent', 'great', 'responsible', 'many', 'wonderful', 'good', 'tall', 'easy'];0.3669642857142857
2;Leofwine_draca;"this japanese samurai film from akira kurosawa sets up a classic action template that would inspire everything from the magnificent seven to the seven magnificent gladiators and utilises the style of camera-work and direction that would inspire hollywood movies till this day. be warned, at three hours and ten minutes, this is a leisurely-paced film that takes its time to get to know the leading characters, and many fans of the type of slickly-edited, no-attention-span blockbusters that are made these days will find themselves struggling to sit through the film in one go. however, perseverance is worthwhile, because seven samurai is a very well made film despite the low budget. the direction and camera-work, as mentioned previously, are spot on and kurosawa reveals himself at home both in the crisply-shot action sequences and the character-fuelled drama. another big plus for the film is the cast, all of whom really add to the movie experience as a whole. best of all is takashi shimura as shimada, the chief samurai; taciturn yet friendly, strong yet understanding, he gives an outstanding performance. shimada's character is off-set by toshiro mifune's kikuchiyo, who has more of a scene-stealing part as a farmer's-son-turned-samurai; mifune brings vitality and humour to the movie and, while i'm sure his gurning and frenzied comedy will not be to all tastes, he certainly ups the excitement and fun of the film whenever he's around. the supporting characters are also great, especially the stern kyuzo and the youngster of the seven, katsushiro. the plot is simple yet is strong enough to have been rehashed countless times. elements of battle tactics and warfare are used sparingly but effectively, and the emotional punch is there; at the closing scenes, i felt like crying right along with katsushiro, due to all the unnecessary bloodshed and killing that immediately preceded that moment. seven samurai is best experienced by watching it appreciatively; of course it looks dated nowadays, and many of the plot elements have become cliched. appreciating what it did to cinema in 1954, though, reveals what a strong, expertly-made and influential movie it really is.";13 December 2016;8;['japanese', 'classic', 'magnificent', 'magnificent', 'hollywood', 'many', 'worthwhile', 'low', 'big', 'good', 'chief', 'friendly', 'strong', 'understanding', 'outstanding', 'more', 'sure', 'frenzied', 'great', 'stern', 'simple', 'strong', 'countless', 'emotional', 'unnecessary', 'many', 'cliched', 'strong', 'influential'];0.3609848484848485
3;SnoopyStyle;it's early 16th century and japan is in the midst of civil wars. a poor village faces constant harassment from bandits. a villager overhears that bandits are planning to come back after the harvest. after a debate, the village elder proposes to hire samurai. the villagers have little to offer. they witness heroic ronin kambei rescue a boy. young katsushiro is desperate to be his disciple. kambei reluctantly agrees to help the villagers but he determines that the defense needs at least seven samurai. this is simply one of the best movies ever. it is influential in so many other movies. the characters are funny and compelling. they are iconic in their simple characteristics. modern audiences may find the over 3 hour running time a bit too long.;10 December 2014;9;['early', 'civil', 'poor', 'constant', 'eld', 'little', 'heroic', 'ronin', 'young', 'desperate', 'good', 'influential', 'many', 'other', 'funny', 'compelling', 'iconic', 'simple', 'modern'];0.1358333333333333
4;Hitchcoc;"this is a movie that makes over three hours seem like a few minutes. as with a great work of art, it appreciates on multiple viewings. this is a classic tale of an oppressed village under siege from enemies. they are plundered and attacked by murderous thieves and have little hope. enter the good guys who aren't always seen as good guys. yes, it is a classic plot, but there the comparison ends. the way kurosawa frames his scenes, the action sequences, the close ups, the emotions expressed are seldom matched. this has everything: a massive spectacle with battle scenes unmatched, incredible acting by kurosawa's stable, including his star taoshiro mifune. in the ""high noon"" tradition, it has the theme that we need to help ourselves and not depend on others to help us. the samurai, who have ruled for a long time, have fallen into disfavor and so there's a tension: why should they fight if the villagers are only interested in keeping what is there's, even if it means constant raids and attacks. there are greater reviewers who have done justice to this film. i can only say that i am a huge fan.";2 September 2009;10;['few', 'great', 'multiple', 'classic', 'murderous', 'little', 'good', 'good', 'classic', 'close', 'massive', 'unmatched', 'incredible', 'stable', 'high', 'long', 'interested', 'constant', 'great', 'huge'];0.2878645833333333
5;claudio_carvalho;"in the sixteenth century, in japan, a poor village is frequently looted by armed bandits losing their crop of rice. their patriarch grandpa advises the villagers to hire a ronin to defend their village. four farmers head to town to seek out their possible protectors, but they just can offer three meals of rice per day and lodging for the samurai. they succeed in hiring the warming-hearted veteran kambei shimada (takashi shimura) that advises that they need six other samurai to protect their lands. kambei recruits the necessary five samurai and the brave jester kikuchiyo (toshiro mifune) and move to the village. after a feared reception, kambei plots a defense strategy and the samurai start training the farmers how to defend their lands and families for the battle that approaches. in order to celebrate the milestone of 4,000 reviews in imdb, i decided to watch again ""the seven samurai"", the most known masterpiece of akira kurosawa and among my top-10 movies ever. as far as i recall, this was the first samurai movie that i have watched and it is still my favorite despite many other excellent movies. ""the seven samurai"" is a perfect movie: the story and screenplay are amazing, dividing the dramatic story in the recruitment, reception, strategy, training, harvest, romance and the final battle of the samurai in such a way that the viewer does not feel the 207 minutes running time. the direction of akira kurosawa is perfectionist as usual, and the choreography of the battle in the rain is extremely realistic. the acting is top-notch, highlighting toshiro mifune in a great shape, climbing trees, jumping and fighting in the role of a funny character. the cinematography, set decoration, costumes, lighting, everything is fantastic. in 1960, john sturges remade this masterpiece with the western ""the magnificent seven"". my vote is ten. title (brazil): ""os 7 samurais"" (""the 7 samurai"")";2 August 2009;10;['sixteenth', 'poor', 'armed', 'possible', 'other', 'necessary', 'brave', 'feared', 'kambei', 'known', 'first', 'favorite', 'many', 'other', 'excellent', 'perfect', 'amazing', 'dramatic', 'final', 'perfectionist', 'usual', 'realistic', 'top', 'great', 'funny', 'fantastic', 'western', 'magnificent'];0.2924242424242424
6;classicsoncall;"apparently it took a second viewing for me to really appreciate this film. the first time around i must have been distracted to the point of being inattentive and today i'm glad i gave it another shot. what particularly struck me this time was the gorgeous cinematography, which hooks you right from the start with the menacing ride of the bandit clan upon the seemingly deserted village. though filmed in black and white, the images are crisp and clean, elevating the result to a true work of art. in fact, the effect is hypnotic at times, and one must concentrate to stay with the story that unfolds. thinking back on my first experience with the picture, i tried to figure out what might have prevented my viewing pleasure. yes the film is long and there is a tendency for kurosawa to keep the camera stationary for an inordinate length of time to establish mood and a point of view. perhaps it also had something to do with the motion of the villagers who appear to react erratically, almost as if they were self consciously forcing their activity. now obviously those elements have not gone away, but it's just that i saw it all in a different light with this viewing. director kurosawa does take his time building to the action. the entire first half of the film is used to introduce his characters and set up the framework for defending the village. when the village is finally assaulted by the marauding bandits, the samurai follow a methodical plan devised by their leader kambei shimada (takashi shimura), whereby one or two of the outlaws are allowed entry into the village while the rest are kept at bay, allowing the villagers to defeat their foes systematically and decisively. the villagers resemble a swarm of bees each time they descend on a fallen enemy. through a diverse mix of personalities and temperaments, kurosawa explores various character traits of the samurai, among them honor, loyalty, selflessness, courage and even humor. the comic relief offered by kikuchiyo (toshiro mifune) when attempting to ride the horse for the first time came just at the right moment to break the unrelenting tension faced by the warriors. kurosawa even delves into matters of the heart with the relationship of katsushiro and shino, unfavorably received by the obsessive behavior of shino's father. all in all, i'm glad i gave this picture a second chance. ""seven samurai"" is a masterfully told story and a cinematic achievement, and will certainly warrant another viewing in due course.";15 August 2014;10;['second', 'first', 'inattentive', 'glad', 'gorgeous', 'menacing', 'black', 'white', 'crisp', 'clean', 'true', 'hypnotic', 'first', 'long', 'inordinate', 'different', 'entire', 'first', 'methodical', 'fallen', 'diverse', 'various', 'comic', 'first', 'right', 'unrelenting', 'shino', 'obsessive', 'glad', 'second', 'cinematic', 'due'];0.1243788819875776
7;gavin6942;"a village has been hounded by bandits who come in to steal their rice and barley. sick of it, they decide to hire a samurai to protect them before the next raid. soon, the number grows to seven... and the bandits have a heck of fight on their hands. akira kurosawa is a master, both in writing and directing. some have compared this film to orson welles' ""citizen kane"" for its greatness. and surely, we have seen many, many directors and films who have expressed their admiration -- sometimes in words, sometimes by imitation. the film has been said to be the first where an assembled group of men go on a mission. that may well be true. i find it even more impressive that kurosawa was able to make such a production so relatively soon after world war ii, when japan should have been struggling with recovery. indeed, the filming quality is not up to american standards for 1954, but he more than makes due with what he has. i really need to see the film again to get a fair assessment of it, but i enjoyed it greatly and think it needs more exposure.";31 March 2010;8;['sick', 'next', 'many', 'many', 'first', 'assembled', 'true', 'impressive', 'able', 'american', 'due', 'fair', 'more'];0.2883928571428571
8;jboothmillard;i read the description of this film given in the book 1001 movies you must see before you die, i was surprised to find out that it was remade into the magnificent seven, so naturally i wanted to see the original source, from director akira kurosawa. basically, set in the 16th century of japan, a poor mountain village in the country is constantly being robbed, looted and made fearful by an armed gang of marauding bandits causing them to lose their rice crop. the villagers have finally had enough and decide that they need outside help to both defend themselves, and get rid of the thieves once and for all. warm-hearted veteran samurai kambei shimada (bafta nominated takashi shimura) is approached by young samurai katsushiro okamoto (isao kimura)to be hired to defend the village, and he gladly accepts. together, along with two of the town's farmers, under the advice of kambei, they leave the village to find six other samurai warriors to protect the lands. they successfully find and recruit four skilled fighters and swordsmen, gorobei katayama (yoshio inaba), shichiroji (daisuke kato), heihachi hayashida (minoru chiaki) and kyuzo (seiji miyaguchi). they had originally planned to leave with just these four men, but they spot clownish but skilled samurai kikuchiyo okamoto (bafta nominated toshiro mifune), and with everyone's encouragement, katsushiro is secured as the seventh samurai. with the promise of three free meals a day the seven samurai look forward to their arrivals, but when they get back to the village with a fearful reception, but don't worry, things settle. kambei gets to work immediately on the battle strategy against the gang of thieves, and the other samurai start training the people in the village to be ready for any incoming attack or raid. there are forty bandits in total, and the first attack gets underway, with a good amount of the opposite side being brought down, but of course there has to be a casualty. gorobei was shot and killed in the first attack, kikuchiyo's friend yohei (bokuzen hidari) was also killed in action, but the samurai and villagers are determined not to be beaten in the second bandit brawl. kyuzo suffered the fate of the second attack, and the final attack finishes off the gang of thieves, with kikuchiyo being the final samurai to meet their maker. in the end, the three surviving samurai, kambei, katsushiro and shichiroji look over the villagers looking happy planting their new crop, and the graves of the other four warriors. also starring kamatari fujiwara as manzo, yoshio tsuchiya as rikichi and yoshio kosugi as mosuke. being three hours and ten minutes long i was expecting to doze off and have to rewind at some point, but with great acting, the training and fight sequences, historical detail, humanism, the final battles, but also clever editing and speed techniques, this black and white is a masterpiece of foreign cinema, a brilliant classic action drama. it was nominated the oscars for best art direction-set decoration and best costume design, and it was nominated the bafta for best film from any source. very good!;8 December 2010;9;['surprised', 'magnificent', 'original', 'poor', 'fearful', 'armed', 'enough', 'outside', 'warm', 'hearted', 'young', 'other', 'skilled', 'gorobei', 'seiji', 'clownish', 'skilled', 'seventh', 'free', 'fearful', 'other', 'ready', 'incoming', 'first', 'underway', 'good', 'opposite', 'first', 'second', 'second', 'final', 'final', 'happy', 'new', 'other', 'mosuke', 'great', 'historical', 'final', 'clever', 'black', 'white', 'foreign', 'brilliant', 'classic', 'good', 'good', 'good', 'good'];0.1969507575757576
9;ccthemovieman-1;"this 1954 akiro kuroswa-directed film has legendary status among critics. it was the forerunner for the western hit ""the magnificent seven."" knowing these facts, i was anxious to see it. wow, what a letdown! yes, it had some nice photography but the story was way too slow-moving to sustain interest. it took forever to get to the main action scene. by then, it was too late; i had lost interest. the film runs 160 minutes and can seem longer. so many of these kurosawa films are overrated by the critics. maybe it's not politically-correct to criticize this man's work, it's not the ""thing to do,"" so they keep telling everyone what great films like this are, hooking unsuspecting people like me into wasting my time and money on them.. i wanted to like this, but i have to be honest, too. if you thinking of purchasing this, sight-unseen (especially with an expensive criterion price) , don't say i didn't warn you.";22 July 2006;3;['legendary', 'western', 'magnificent', 'anxious', 'nice', 'main', 'late', 'many', 'correct', 'great', 'honest', 'unseen', 'expensive'];0.3287878787878787
