id;user;comment;date;mark;adjectives;polarity
0;TheLittleSongbird;the original trilogy of star wars contain three films, all of which are sophisticated, imaginative and enormous fun. i feared it wouldn't be my thing, but it was exactly that. i loved the original trilogy for all those reasons. empire strikes back maintains all the fun of its predecessor, while even darker and more mature. visually it's a marvel to look at, with the stunning special effects and highly imaginative-looking sets. john williams's score is just outstanding, epic and monumental in every way. the story is darker than that of new hope and perhaps more sophisticated, and i loved the fact the filmmakers made the romance between leia and han more developed. the battle sequences are mesmerising, the beginning is bound to have you on the edge of your seat, but the battle between luke and darth vader was simply out of this world. the script is still as affectionate as ever, the pace is fast and the acting is great. mark hamill is ever as likable as luke, and carrie fisher still has her spunk and vivacity. harrison ford is noticeably more subdued, but he is still terrific, and frank oz is a perfect yoda. chewabacca is hilarious, and darth vader is a fantastic villain, especially when voiced so magnificently by james earl jones. all in all, a perfect successor to an already brilliant first film. 10/10 bethany cox;29 November 2009;10;['original', 'sophisticated', 'imaginative', 'enormous', 'original', 'dark', 'mature', 'stunning', 'special', 'imaginative', 'outstanding', 'epic', 'monumental', 'dark', 'new', 'sophisticated', 'affectionate', 'fast', 'great', 'likable', 'luke', 'terrific', 'frank', 'perfect', 'hilarious', 'fantastic', 'perfect', 'brilliant', 'first'];0.3957402597402598
1;bkoganbing;though the intrepid three heroes of star wars destroyed the death star commanded by darth vader, the rebel army is still on the run. they've taken refuge in a frozen planet called hoth much like george washington and the continental army at valley forge. in the meantime the empire still searches for the rebel army in the empire strikes back. when the attack comes, it comes full force, the rebels flee as do luke skywalker and r2d2 in one ship and princess leia, han solo, chewbacca and c3po. mark hamill as luke skywalker is given a mission in a dream by the late alec guinness, killed in the first star wars film to receive jedi knight advanced training from the legendary yoda and he seeks him out. harrison ford and carrie fisher and company seek out ford's old friend lando kalrissian to repair his ship after ford plays a dangerous cat and mouse game with darth vader's battle cruiser. as lando kalrissian, billy dee williams steps into the star wars pantheon of heroes and proves quite useful if not quite on the up and up. george lucas continues his tradition of writing about futuristic homeric like heroes in a galaxy far away. and as cinema, the empire strikes back continues the quality of excellence that the original set. looks like the force is definitely with george lucas.;24 September 2010;9;['intrepid', 'rebel', 'frozen', 'continental', 'rebel', 'full', 'first', 'advanced', 'legendary', 'old', 'dangerous', 'useful', 'futuristic', 'homeric', 'original'];0.271875
2;SnoopyStyle;after the destruction of the death star, the rebel alliance has been hounded by the empire. princess leia, luke skywalker, and han solo are with the rebel forces on the secret base on the planet hoth. darth vader locates the base driving the rebels on the run. leia, chewie, and han with c-3po escape on the millennium falcon eventually ending up in lando calrissian's cloud city. meanwhile, luke goes to the dagobah system and finds jedi master yoda. there are superior popcorn movies in the star wars franchise although there is plenty of eye-popping action in this one. this is the best overall film in the series. the dialog is snappier. the combative romance between leia and han is the best. everything looks great. it introduces yoda and lando. there are great legendary twists. it is a star wars movie for film fans. even the special edition is the best of the original trio. there may be one or two stiff additions but most of them actually help. there are so many incredible moments in this.;6 May 2016;10;['rebel', 'rebel', 'secret', 'superior', 'good', 'overall', 'snappy', 'combative', 'good', 'great', 'great', 'legendary', 'special', 'good', 'original', 'stiff', 'most', 'many', 'incredible'];0.4945238095238095
3;Horst_In_Translation;"""star wars: episode v - the empire strikes back"" is the second film from the ""star wars"" franchise and the fifth in terms of chronology of the contents depicted in there. it was directed by irvin kershner over 35 years ago and had some success with the academy awards, even if not nearly as much as the first film. and i myself must say that i found it not better than the first (even if the imdb rating says so), but also not much worse. once again, it delivers especially on the visual side in terms of sets, cinematography and special effects while coming a bit short in terms of the story. the characters are all fairly memorable though, the humans and the others. there are many many characters that appeared in the first film already, for example obi wan kenobi is even back for one scene, but there are also some interesting new additions, most of all the uber-famous yoda. and darth vader is the main villain in here while being just one of several villains in the first film. a great light saber sequence is included here too. i said that i was not too overwhelmed by the story and that implies the plot as a whole, but also minor scenes and references. one example would be calrissian's character obviously being totally scared of vader for almost the entire film and then, completely out of nowhere, he suddenly has no fear anymore and joins the resistance fighters. not very realistic character development. i also did not like the references in terms of mathematical probability early on. this makes it look really unrealistic that skywalker survived or that han solo managed to control the spacecraft some time later. all in all, it was an okay watch at best and the film has several lengths, starts off nicely with the snow planet scenes, gets worse, but gains some momentum again towards the end. however, i believe that they could have done without roughly 20 minutes and kept this movie at 105 minutes instead of over two hours. you have to be very generous to appreciate this film as a whole as there were more than just a few weaknesses to it. still, the good moments make somewhat up for it, even if the film never reached real greatness. not once. nonetheless, i will be generous and give it a cautious thumbs-up, especially for science fiction fans, which i am probably not really.";3 February 2016;6;['second', 'fifth', 'much', 'first', 'well', 'first', 'bad', 'visual', 'special', 'short', 'memorable', 'many', 'many', 'first', 'interesting', 'new', 'most', 'famous', 'main', 'several', 'first', 'great', 'light', 'overwhelmed', 'minor', 'scared', 'entire', 'realistic', 'mathematical', 'unrealistic', 'okay', 'good', 'several', 'bad', 'generous', 'more', 'few', 'good', 'real', 'generous', 'cautious'];0.1962678735406008
4;claudio_carvalho;"the rebels' new base is hidden in the icy planet hoth and princess leia (carrie fisher) commands a unit with luke skywalker (mark hamill), han solo (harrison ford) and chewbacca (peter mayhew). during the investigation of a meteor crash, luke is wounded and captured by a creature but succeeds to escape. while dying on the snow, he has a vision of obi-wan kenobi telling him to go to the dagobah system to be trained by the jedi master yoda. later he is saved by han and they are rescued in the morning by the rebels. meanwhile darth vader (david prowse) sends probe droids through the galaxy to find the location of the base. the rebels are located and they need to leave the planet under the attack of the imperial fleet. however luke heads to dagobah to find yoda while leia, han, chewbacca and c-3po travel to the planet bespin to meet his friend lando calrissian (billy dee williams) and repair the millennium falcon. however, they are betrayed by lando and captured by darth vader. meanwhile luke has a premonition with his friends in danger and he decides to interrupt his training with yoda to save them, despite the warning of obi-wan and yoda. will luke be ready to face darth vader and save his friends? ""the empire strikes back"", later retitled ""star wars: episode v - the empire strikes back"" is a fantastic sequel of star wars, with a great story. the plot has adventure, romance, comedy and betrayal and is engaging until the very end. the characters now are more experienced and bonded. the mannerisms of c-3po recalls dr. smith, from ""lost in space"". this is the type of sequel that keeps the high quality of the original film. my vote is ten. title (brazil): ""o imperio contra-ataca"" (""the empire strikes back"")";13 December 2015;10;['new', 'imperial', 'luke', 'ready', 'fantastic', 'great', 'very', 'experienced', 'high', 'original'];0.4387662337662337
5;classicsoncall;"the summary line is one of my favorite movie quotes of all time because it embodies a philosophy and a discipline. whenever i hear someone say 'i'll try', i already know it's a cop out with no intention of getting involved with the task in question. had george lucas 'tried' to make the movie, it would never have gotten done. i guess that's why yoda is my favorite star wars character. yeah ok, he's a puppet, but the character of yoda is like the spock of the sw universe, a stabilizing force (force?) who helps luke remain grounded and in control of his emotions. i recall some disappointment the first time i saw this film during it's original theatrical release relative to the han solo cliffhanger, somehow i felt it took away from the structure i was looking for in the chapter following the original ""star wars"". viewing it today i don't feel the same way. it dealt a momentary reprieve to the han/leia romance and allowed for analysis of the darth/luke relationship. vader's attempt to shield his son from the emperor by promising a turn to the dark side was ingeniously turned on it's head with vader suggesting young skywalker use his power to defeat the emperor. the scene was cleverly done and luke's response hinted at things to come in ""return of the jedi"". my most recent viewing of this episode was only the third time since the original theatrical release, and i find that it hasn't lost any of it's impact, maintaining a vitality and excitement that time hasn't diminished. watching the remastered dvd version, particularly with the sub titles, offers an entirely new perspective when you can pause and rewind to understand better what certain characters said. perhaps that's why i found it a lot easier to keep track of the fine points of the story, place names like hoth, yavin and bespin, and secondary characters like governor tarkin. all those subtle points add a more defined structure to the story, and helps one appreciate much more the intricacy of the universe created by george lucas.";8 June 2007;10;['favorite', 'favorite', 'first', 'original', 'theatrical', 'relative', 'original', 'same', 'momentary', 'dark', 'young', 'recent', 'third', 'original', 'theatrical', 'remastered', 'new', 'well', 'certain', 'easy', 'fine', 'secondary', 'subtle', 'more'];0.1615388579674294
6;lee_eisenberg;"i don't know whether or not ""the empire strikes back"" was better than ""star wars"" or not, but it's pretty much equally good. since everyone knows the plot, i figure that i'll just talk about a few aspects. it's weird to think that yoda was only introduced here; he's been such a central character in the series that it's easy to forget that he didn't star in episode 4! in some ways, watching ""tesb"", you get the feeling that the people behind the scenes realized how lucky the series was making them, and so they decided to go all out. and they do just that. they played it to good effect here (i personally thought that ""return of the jedi"" overdid it a little). but anyway, the force is with this movie from start to finish!";4 October 2005;10;['well', 'good', 'few', 'weird', 'central', 'easy', 'lucky', 'good', 'little'];0.1598958333333333
7;gavin6942;"any comments here refer to the theatrical release, not the pile of rubbish known as the special edition. rick mccollum should be tracked down and given a good kick in the pants. in your epic battles of good and evil, ""empire strikes back"" pretty much takes the cake. we have everything here -- characters with depth, tragedy, romance, adventure... aliens that are believable. it has become cliche to compare ""star wars"" to ""lord of the rings"", and that's not entirely unfair... but, really, ""star wars"" is better and ""empire strikes back"" is the best. as dante hicks says in ""clerks"", this film is the best because it imitates life, ""a series of down endings"". sometimes life is better than that, but it's often not. and whereas most movies want happiness, this one put luke and han in a bunch of bad situations with no hope of escaping unscathed. that's what makes this fantasy very much reality.";7 April 2010;9;['theatrical', 'special', 'good', 'epic', 'good', 'evil', 'believable', 'unfair', 'well', 'good', 'good', 'down', 'well', 'most', 'bad', 'unscathed', 'much'];0.1501133786848072
8;jboothmillard;"one of the best film sequels ever made (along with the godfather, part ii and terminator 2), this is the second part to great original trilogy, and saga, from writer/creator george lucas and director irvin kershner. ""a long time ago, in a galaxy far, far away"" on the ice world of hoth, luke skywalker (mark hamill) is investigating possible empire activity, only to be attacked by a snow monster. he manages to escape with the help of the force and his light sabre, but he is still stuck in the blizzard, and before going unconscious and being rescued by han solo (harrison ford), he sees a vision of ben (obi-wan) kenobi (sir alec guinness) telling him to go to the degobah system and find jedi master yoda. so after a quick battle between the rebels and the empire, luke, with r2-d2 (kenny baker) heads to this planet, and eventually he finds yoda (a muppet style creature voiced and performed by muppet member frank oz, aka miss piggy and fozzie bear), and they start training. meanwhile, han, princess leia (carrie fisher), chewbacca (peter mayhew) and c-3po (anthony daniels) are in the millennium falcon, pursued by the empire (because of a tracking device), and hide for a while in what they thought was the inside of a near meteor, but it was in fact the belly of a giant worm alien. when they do get out, they head for their destination to fix the ship, the planet bespin, where they are greeted by han's old shifty gambler friend (and original millennium falcon owner), lando calrissian (billy dee williams). but what they didn't know is that darth vader (acted by david prowse, voiced by james earl jones) and the stormtroopers arrived before them, and they are the bait of vader's trap to get luke, who he has become obsessed with finding. as a prize for finding them, han solo is frozen in carbonate and (when confirmed he is alive) is give to bounty hunter boba fett (jeremy bulloch) to be delivered to crime lord jabba the hutt (who you saw in the first film). eventually, luke does land on the planet, and he and darth have a long and exciting light sabre fight, while leih's gang escape in the millennium falcon. the pinnacle twist and great quote of the film is, after cutting luke's hand off, darth vader revealing the truth about his father's death, he says ""i am your father!"" after this he is eventually rescued, has his hand replaced, and lando and chewbacca fly away in the millennium falcon, a more more obvious 'to be continued' moment. also starring julian glover as general veers. it won the oscar for best sound, and it was nominated for best art direction-set decoration, best music for john williams and a special achievement award (for visual effects), it won the bafta for best original film music for john williams, and it was nominated for best production design/art direction and best sound, and it was nominated the golden globe for best original score. star wars was number 24 on the 100 greatest pop culture icons, the film was number 67 on the ultimate film, and along with the episode iv: a new hope, both were number 1 on the 100 greatest films. outstanding!";4 March 2005;10;['good', 'second', 'great', 'original', 'long', 'possible', 'light', 'unconscious', 'degobah', 'quick', 'near', 'giant', 'old', 'shifty', 'original', 'obsessed', 'alive', 'first', 'long', 'exciting', 'light', 'great', 'obvious', 'general', 'good', 'good', 'good', 'special', 'visual', 'good', 'original', 'good', 'good', 'golden', 'good', 'original', 'great', 'ultimate', 'new', 'great', 'outstanding'];0.3428115743905218
9;Tweekums;"like most children who loved star wars when it was first released i looked forward to the next big screen instalment of the saga. i was not disappointed. the action started almost immediately and keeps up throughout the film till the climactic light sabre battle. we are also introduced to the new interesting characters yoda, lando and the emperor himself. as the film begins the rebels are on the run, hiding on the barren ice planet of hoth and the empire is dispatching droids to search the galaxy for them. one lands not far from luke and he sets off to investigate but before he can get far he is attacked by a yeti-like creature which drags him off to an ice cave. luke manages to escape but it is too late for him to get back to the base and it looks like he might freeze to death. luckily for him han is out searching for him and eventually finds him just after he has a vision of his old friend obi-wan kenobi who tells him to seek a jedi master called yoda on the planet dagobah. once back at the base the soon learn that the empire has discovered where they are and start to evacuate. while this is occurring they must hold off an attack by imperial walkers which are attempting to destroy the shield protecting the base. eventually the base falls but not before our heroes can escape. at this point the action splits, luke and r2 fly to dagobah and han, chewie, princess leah and c3po flee in the millennium falcon. when luke arrives on dagobah he discovers the planet is one huge swamp into which his x-wing sinks. he and r2 soon find a strange creature who says that he can take them to yoda, of course it turns out that he is yoda, after some persuasion he begins to train luke. meanwhile back on the falcon things aren't going according to plan; when ambushed by imperial star destroyers they discover that the hyper-drive isn't working so must hide in a dangerous asteroid field. flying into cave on one of the larger asteroids the attacked by strange creatures that feed on the ships power cables, when they go outside to remove them they discover that the cave itself isn't what they thought it to be so must flee once more into the path of the imperial forces. being a crafty pilot han manages to escape from them but is pursued by the bounty hunter boba fett. needing repairs they head to cloud city in the nearby bespin system. here they are met by han's old friend lando calrissian who offers to help them. unfortunately for them darth vader got there sooner and made a deal with lando. meanwhile luke has a vision that his friends are in danger and ends his training early to go and help, despite yoda's warning that he is at risk from the dark side of the force and could make things worse. when he gets there he confronts vader who tells him something that goes against everything he thought to be true... in the very unlikely event that you don't know already i'll avoid spoiling it. like the original film this is full of excellent special effects but isn't swamped with excessive cgi like the more recent prequels. the acting and direction are both pretty good. being the middle act of the original trilogy it is much darker in tone than the first film and the ending can hardly be called happy. i'd certainly recommend this film to anybody regardless of their age, it is one of the few sequels to improve on the first film of its series.";7 October 2008;10;['most', 'next', 'big', 'disappointed', 'climactic', 'light', 'new', 'interesting', 'like', 'late', 'old', 'imperial', 'huge', 'x', 'wing', 'strange', 'imperial', 'dangerous', 'large', 'strange', 'imperial', 'crafty', 'nearby', 'old', 'dark', 'bad', 'true', 'unlikely', 'original', 'full', 'excellent', 'special', 'excessive', 'recent', 'good', 'middle', 'original', 'dark', 'first', 'happy', 'few', 'first'];0.1134644766997708
