id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;"""the godfather: part ii"" is seen, by many, as the greatest sequel in movie history and one of the best films of all time. some even think it's better than ""the godfather"". as for me, who am i to argue?! the film is great--and deserved the best picture award and its placement at #3 on imdb's top 100 list! and, since there are over 500 reviews for it on the site, i can't think of why i am even bothering to review it. after all, what's one more review that sings its praises?! the acting, writing, direction and entire production is perfect. what more can you say? if you do see the film (and you must), try to watch the version that combines the first two films into one--and adds additional story to make it one huge and perfect epic. you simply can't be a film buff without seeing this picture.";30 March 2013;10;['many', 'great', 'good', 'well', 'great', 'good', 'top', 'more', 'entire', 'perfect', 'more', 'first', 'additional', 'huge', 'perfect'];0.5884615384615385
1;TheLittleSongbird;i do have to agree that calling godfather part ii a sequel is rather insulting. it is one of those rare sequels that almost outdoes the first, and considering how amazing the first godfather was that says a lot. the godfather part ii is longer, but in some ways it is also richer. people may say like with the first it is slow and takes a while to unfold. of course, but i think that was deliberate. both this and the first godfather have an elegiac quality to them that makes them even more compelling. for one thing, the film is very well made. the cinematography is simply gorgeous, whether it is dark or autumnal or picturesque, and the settings are wondrous. the music once again is outstanding, it is haunting and sticks in your head for a very long time. then there is a brilliantly written screenplay that is intelligent and thoughtful, masterly direction from francis ford coppola and a fabulously constructed story. the film does have some wonderful scenes-: the scenes where vito flees sicily has the grandeur of a silent movie, while the scenes in cuba actually avoid being clumsy and confusing and the climax is extremely chilling. not to mention the pop goes the weasel scene, which was very funny. the acting is superb once again. vito is brilliantly portrayed by robert deniro in one of his better performances. i was also taken with robert duvall as loyal tom, john cazale and diane keaton. but the picture belongs to al pacino. he was great carrying the first godfather movie, but he is even better here. he is simply phenomenal, and to be honest i think he should have won that oscar. overall, an amazing film and one of the best sequels ever to be conceived. 10/10 bethany cox;24 November 2010;10;['insulting', 'rare', 'first', 'amazing', 'first', 'long', 'rich', 'first', 'slow', 'deliberate', 'first', 'elegiac', 'compelling', 'gorgeous', 'dark', 'autumnal', 'picturesque', 'wondrous', 'outstanding', 'long', 'intelligent', 'thoughtful', 'masterly', 'wonderful', 'silent', 'clumsy', 'confusing', 'chilling', 'funny', 'superb', 'well', 'loyal', 'great', 'first', 'well', 'phenomenal', 'honest', 'amazing', 'good'];0.2696236559139784
2;bkoganbing;although most movie sequels never equal the original this is certainly not the case of the godfather: part ii. many would argue it surpasses the original. with both films declared the best picture by the motion picture academy in their separate years, i'd hate to argue the difference. in this case we should thank the executives at paramount for retaining both director francis ford coppola and the original the godfather author mario puzo to put their talents to this film. i'd hate to think what would have happened in other hands. certainly these two men knew their characters and knew how to expand on them. and the best thing about the godfather: part ii is that one can pick up the story, at least the modern portion of this one without reference to the original. in fact viewing this film will give you a burning passion to see the first. unlike the godfather and the godfather: part iii, this film runs on two parallel tracks. the modern story is a continuation of al pacino as michael corleone now residing on the shores of lake tahoe and now directing the family affairs from nevada where the corleone family is heavily into gambling as we well know organized crime was back in those days of the fifties and sixties. he's going into partnership with lee strassberg playing hyman roth, a thinly veiled portrait of meyer lansky. but there are a lot of things making pacino hesitant about this move into cuba under the battista dictatorship. the prequel parallel story is how young vito corleone came to this country as an orphan and worked his way up to establish himself as a crime boss. here coppola does a brilliant job in capturing the flavor of pre-world war i new york in the italian ghetto. robert deniro is young vito corleone and won a best supporting actor oscar. remarkable when you consider that two of his rivals were lee strassberg from this film and michael v. gazzo playing frankie pantangeli from this film as well, the mafia kingpin turned senate witness modeled on joe valachi. deniro and marlon brando have the unique distinction as players of winning an oscar for playing the same role. the woman do better in this film as in the original. talia shire got an oscar nomination in the supporting actress category as connie corleone rizzi. you remember her husband betrays the family and is killed in the original. she now is a drunken dependent on pacino. diane keaton's character of kay adams corleone is expanded here as well. she's a cultural outsider and the sicilian vendetta code that she's expected to approve without comment becomes too much to bare. her scene with pacino when she tells him she's leaving him is one of the best for both in their respective careers. overlooked unfortunately at award time was john cazale as fredo corleone. he's the middle son who's passed over for succession after eldest son james caan is killed in the godfather. fredo's big moment in the godfather is being unable to fire his weapon in defense of his father being shot and how he breaks down. fredo's got feelings as john cazale dramatically points out. he does something really stupid in this film and it costs him dear. cazale has some of the best moments in this film. if the first godfather film doesn't do it, the godfather: part ii will have you permanently hooked on the inner workings and dynamics of the corleone family both in the criminal and personal sense.;17 March 2008;10;['most', 'original', 'many', 'original', 'good', 'separate', 'original', 'other', 'good', 'least', 'modern', 'original', 'first', 'parallel', 'modern', 'corleone', 'organized', 'hesitant', 'battista', 'prequel', 'parallel', 'young', 'brilliant', 'pre', 'world', 'young', 'good', 'remarkable', 'unique', 'same', 'original', 'oscar', 'corleone', 'original', 'drunken', 'dependent', 'cultural', 'much', 'bare', 'good', 'respective', 'middle', 'eld', 'big', 'unable', 'stupid', 'dear', 'good', 'first', 'inner', 'corleone', 'criminal', 'personal'];0.2135135135135135
3;Leofwine_draca;"a lot of people seem to consider the godfather part ii to be the best film ever made, a film that's even better than it's already excellent predecessor. unfortunately, i have to disagree. while this movie is very good, and as well made as the original, i think the original has the edge. the reason for that is the script, which was just better, and more involved, the first time around. here, there are dual narratives, one of which follows the traditional sequel route of showing that happened to the corleone family after the events of the first movie, while the second is a prequel revealing how vito corleone became the mafia boss he ended up as. while i love robert de niro and i enjoyed the flashback scenes, i felt this whole sequence was slightly unnecessary. from the material given, the viewer can already guess how the de niro character rose through the ranks and the events we witness feel a little bit superfluous. sure, the pair of assassination scenes are excellent, but the rest just feels obvious and expected. meanwhile, the pacino narrative also has its problems, although cast and director aren't at fault; coppola reunites many of his principals here and to excellent effect. however, there isn't nearly as much incident in the narrative and the whole story feels a little dragged out, a little over-emphasised. in the first film, the pacino character had three or four major plot points to deal with, whereas this time the events are limited; for example, the entire film focuses on the situation with roth, whereas in the godfather that would have just taken up half an hour or so. therefore the ending, when it comes, is admittedly powerful, but not as effective in comparison to the genuinely amazing things we saw in the first film. it's been done before, and apart from a little more depth and character focus, we can't take much more away from this sequel. so it's very good, but not quite up there to the level of the first.";7 April 2014;8;['good', 'well', 'excellent', 'good', 'original', 'well', 'first', 'dual', 'traditional', 'corleone', 'first', 'second', 'prequel', 'whole', 'unnecessary', 'little', 'superfluous', 'excellent', 'obvious', 'many', 'excellent', 'much', 'whole', 'little', 'little', 'first', 'major', 'limited', 'entire', 'powerful', 'effective', 'amazing', 'first', 'little', 'more', 'more', 'good', 'first'];0.2892281105990783
4;SnoopyStyle;"the saga continues with michael corleone (al pacino) fully in charge as the unflinching leader. the family drama just gets more and more darker. we are seeing the moral disintegration of michael. the movie also gets a separate timeline for young vito corleone (robert de niro). while that is interesting at times, it is very disruptive especially since it's all in italian. meanwhile, michael's story keeps getting better. how could you forget ""i know it was you, freddo. you broke my heart."" or ""keep your friends close, and your enemies closer."" and john cazale shines as fredo. his exchanges with al pacino are epic. and the emotional grenade tossed by kay (diane keaton) is absolutely stunning. all in all, it is a great effort for a sequel to a masterpiece.";28 November 2013;9;['more', 'dark', 'moral', 'separate', 'young', 'interesting', 'disruptive', 'italian', 'well', 'close', 'epic', 'emotional', 'stunning', 'great'];0.235
5;Hitchcoc;"it's only a sequel because of the part ii thing. this simply fills in the spaces with one of the greatest characters of all time. remember, the two were put together in an incredible sage, putting things in chronological order. talk about your psychological studies. inside the head of michael corleone is a sense of power at all costs. yet, he sees himself as a moral man. i wonder if one could look at organized criminals like one might look at a mideast country, because they have their own principalities, their own history, almost their own religion. they have parceled out their land and protect against invaders. they fear and react to threats from the outside, from ""non-family"" members.the product they sell is terror. of course, all participants live on the edge. their human failings are dismissed and magnified as weakness and disloyalty. brothers kill brothers. i haven't a lot to add because i am not a film expert. as uncomfortable as this film makes me (like the first one), i continue to watch. and in my heart of hearts i wonder if i were cast into this setting, could i stand up to the expectations of my culture?";16 February 2007;10;['great', 'incredible', 'chronological', 'psychological', 'moral', 'organized', 'mideast', 'own', 'own', 'own', 'non', 'human', 'uncomfortable', 'first'];0.2954545454545454
6;Horst_In_Translation;"this is ""the godfather: part ii"", an american movie mostly in the english language, but there are segments in italian included too. and even a few other languages. i think nothing really needs to be said about the film's status. way over a million ratings here on imdb are self-explanatory and so are over a thousand reviews. i will happily add mine now and i hope you will like the read. this was by far not the first time that i watched this film, maybe third or fourth, so it was not new or refreshing to me, but this film is certainly also still a high-quality watch the tenth or twentieth time. it's also been quite a long time since i saw this film before yesterday, so i cannot really elaborate on stuff i perceived differently. one aspect, however, is that i remember liking the de niro parts a lot more on first or second viewing than i did now. no contest for me now that pacino is the heart and soul of the film and i think most people agree. i have read many film buffs even say that pacino is better than brando in the first. the makeup sure helped the latter with the epic status of his role there. still a bit sad that pacino did not get the oscar here. no offense to art carney though. of course, it is also always about the competition. look at the supporting players from the first godfather film coming short against joel grey. i doubt de niro would have won there, but it's all speculation anyway. probably the best picture win was even more obvious for this sequel. best director sure was. i got to watch this film at the big screen the other day which had of course to do with the 50th anniversary of the first godfather movie. they did not show the third though, just the first and second, maybe also because of the big time gap between the second and third film. anyway, let's look at the plot now. this is to some extent two films in one because a lot of the film takes place before thre first film even while other parts show us what happened after the death of vito corleone. it's also not chronological. i remember that i thought de niro was lead here, but his scenes are so rare in the film's first half that i agree now that probably pacino is the only lead here. in the second half, there was a lot more de niro, which helped him with his awards ambitions too i guess. of course, we also never see de niro and pacino on the screen together because there's decades between their characters. we do see de niro's character though with young michael when he was a baby. and with young fredo as well. it's a pity cazale did not manage to score a nomination for his work here. his scene when he complains about his brother that he was overlooked was one of the finest from the entire film. maybe his other scenes were not significant enough. same can be said about diane keaton here, who plays michael's wife. the scene in which she confronts michael with the unborn's death being an abortion was among the very best from the film, but other than that her screen time was limited. must also mention pacino in this scene. of course, there is a lot of anger with his character, but you will never see him more angry than in this exact moment. he also never really physically attacks people, but there it had to come out. his speech about how it is just not an option that she will get the children was also very haunting. just like the moment in which he closes the door later on right into keaton's face. there are so many memorable and haunting moments in here that i cannot mention them all. you just have to experience them and i definitely think you should watch the other film first to really understand the story. comedy is something you will not find in here at all and if maybe very briefly (you think) you do, then it has a bit to do with fredo's character like how he will not let go of the suitcase containing the money. you can also wonder if fredo knew what was about to happen to him in the spectacular finale. there you see how michael really gets his will again. one antagonist commits suicide. another is murdered by a contract killer and his own brother also has to pay for what he did, even if it was a long time ago. this killing stays of course maybe most in the mind with how michael thinks about fredo and talked about him before that, how he understand that it was fredo, the kiss, how he confronts him, how he talks to his mother on one occasion. another brilliant scene. his mother is not a factor otherwise, even if she is a character who is part of both seperate story lines, once as a young woman, once being close to her death. her being alive was also a guarantee for fredo to stay alive. i also liked the way the film ended. the setting is basically between both story lines. the boys are grown-up and they tried their best with makeup to have them look young. especially interesting to see michael there telling his plans to his brothers and how he is not 10% of the alpha he is for the rest of this film. briefly before brando/vito enters. even one of the actors from the first film is brought back for that. one who died there in a pretty spectacular sequence. but this sequel here is not chronological at all and does not have to be to fully succeed. my review is not particularly chronological either. i must say the truly great moments from de niro's character's story here are missing if there is anything to criticize. it is still interesting to watch how he rises, also to see the (familiar) characters he surrounds himself with. how he takes care of the one bullying the neighborhood to kinda become a more distinguished, more dedicated version of him. also interesting to see how vito ends up being called vito corleone. very brief moment early on. actually, there was some comedy to how he dealt with a greedy landlord and this showed us how important loyalty is to him. i mean the comedy included mostly the scene in which the landlord returned. back to the other scenes again, i must also mention michael v. gazzo. would have loved to see him win the oscar here. i definitely preferred his antagonist portrayal over hyman roth, although it is probably almost impossible to compare those two because their characters could not have been any more different really. both really good for different reasons. also interesting to see lee strasberg in here with his famous acting institute of course. one of gazzo's character's most memorable scenes included his brother, but how he unleashed early on against everything non-italian, no matter if we are talking ""pop goes the weasle"", jews or black people, was also highly entertaining. nothing against a good tarantella i suppose. as for roth, i found his most memorable scene was maybe the one from new year's eve, even if his character was basically just sleeping there or being in a coma. this was when a hit actually did go wrong, although i wonder where those saviors suddenly came from. the talk between him and michael (strasberg's first scene) was good too though. another hit that went wrong involved pentangeli (gazzo). i am not sure i got this right, but it was not michael's folks behind that one there. sure turned out clumsy. one character i have not talked about at all was the corleone sister played by talia shire. she had her own agenda and the guy she chose as husband did not make michael happy. not much else to say about her. i am surprised shire was nominated for an oscar honestly. but yeah all is possible when somebody who is considered (one of) the greatest lead performance(s) in film history does not win his category. also i must mention robert duvall (tom hagen). hagen is still loyal to the family, but his bond to michael is just not as strong as his bond to michael's father. not even close. there are steady conflicts between these two, but they kinda overcome them without their relationship really improving, even if there's moments in which michael tells hagen that he is the only one he can trust now. no fredo, nobody else. you can surely say that michael also has a tendency to not trust anybody. there was a good quote on that too. i think it came from pentangeli about the difference in how michael dealt with the jews and how vito did. speaking of vito again, as i am getting close to the end of my review, let me of course mention his moment of great revenge when he kills the man who is responsible for murdering his father, his mother and his brother. that had to be included 100% and you simply knew it was going to happen, even if the bad guy was very old at that point already and vito literally opens his chest with a massive knife. disguised as a potential olive oil deal. so yeah, also some italian cuisine aspects included here. no pizza really though. but politics and law. a senator has to find out what happens when he makes an enemy in michael corleone. and there is a fairly lengthy courtroom trial too that culminates basically in the scene with pentangeli's brother that i mentioned earlier already. so many great metaphors and symbolisms in here. look at fredo acting almost like a dad towards michael's son before his demise and how he can finally say that (with the help of god) he was more gifted than his brothers. even if it was only about fishing. how he talked about fishing being a family tradition etc. how de niro's character pretty much won over the bad guy in his story line thanks to his grit and courage. and then still proceeded to kill him in the following scene. sneaky over the rooftops. there's really too much to choose from what your favorite scenes could be. or favorite shots too. i mean look at the very final shot with michael having succeeded with every plan of his. how he sits there. this would have been amazing ultimate closure too without a third film happening 15 years later. back when this was made, coppola was just in his early 30s. what an achievement for a pretty young filmmaker! now he is in his early 80s. ""the godfather: part ii"" is a must see. huge thumbs-up. (tt0071562)";7 March 2022;8;['american', 'english', 'italian', 'few', 'other', 'explanatory', 'first', 'third', 'fourth', 'new', 'refreshing', 'high', 'tenth', 'twentieth', 'long', 'more', 'first', 'second', 'most', 'many', 'well', 'first', 'latter', 'epic', 'sad', 'first', 'good', 'obvious', 'good', 'big', 'other', 'first', 'third', 'first', 'second', 'big', 'second', 'third', 'first', 'other', 'chronological', 'rare', 'first', 'only', 'second', 'more', 'young', 'young', 'fine', 'entire', 'other', 'significant', 'same', 'good', 'other', 'angry', 'exact', 'haunting', 'many', 'memorable', 'other', 'about', 'spectacular', 'own', 'long', 'most', 'brilliant', 'seperate', 'young', 'close', 'alive', 'alive', 'good', 'young', 'interesting', 'first', 'spectacular', 'chronological', 'chronological', 'great', 'interesting', 'familiar', 'distinguished', 'dedicated', 'interesting', 'brief', 'greedy', 'important', 'other', 'impossible', 'different', 'good', 'different', 'interesting', 'famous', 'memorable', 'non', 'italian', 'black', 'entertaining', 'good', 'memorable', 'new', 'first', 'good', 'sure', 'clumsy', 'corleone', 'own', 'surprised', 'possible', 'great', 'loyal', 'strong', 'close', 'steady', 'only', 'good', 'close', 'great', 'responsible', 'bad', 'old', 'massive', 'potential', 'italian', 'lengthy', 'many', 'great', 'gifted', 'bad', 'following', 'sneaky', 'much', 'favorite', 'favorite', 'final', 'amazing', 'ultimate', 'third', 'early', 'young', 'early', 'huge'];0.2085269360269361
7;kosmasp;not only the arguments if this one is better than the first godfather (godfather ii has been used by many as an example that sequels can be better than the original movie), but also the time line of the movie. so while this is the first movie that includes al pacino and robert de niro in one movie, the time line constraints did not allow for them to be in the same scene (wouldn't make any sense, you'll understand when and if you have watched the movie). also de niro won an oscar (funny fact, for the same role/character marlon brando won one in the first godfather, must be a first and i don't know if it happened again, doubt it though) while al pacino didn't. and while it may seem unfair to pacino, it was more than well deserved for de niro, who really merged himself into the character that brando created. from the way he talked, to gestures to mannerisms. everything is there! but the movie won a few oscars and the acting was really good too. the story continues (though gives us a few flashbacks) from the ending of part 1. so while the first one is conclusive and has a satisfying ending itself, the story could be continued. especially with the original author on board (mr. puzzi). there are new themes introduced in this movie. one big one is loneliness. and it's not only about being alone when you have power or being the godfather. as with the first movie this explores quite a lot of things in gang related family living. a great movie that was even longer than the first one (and the sequel that came after it). but you probably won't mind the length. especially if you buy into the drama, that really works. and even without it stating the time jumps/leaps it makes, you'll get the (time) change on your own. a great sequel to a great movie;4 February 2013;9;['well', 'first', 'many', 'well', 'original', 'first', 'same', 'funny', 'same', 'first', 'first', 'unfair', 'few', 'good', 'few', 'first', 'conclusive', 'original', 'new', 'big', 'loneliness', 'alone', 'first', 'related', 'great', 'long', 'first', 'own', 'great', 'great'];0.2454545454545454
8;classicsoncall;"it's difficult to imagine that ""godfather ii"" could trade punches with the original and still remain standing, but this is one brilliant film. masterfully tracing the history of the corleone family from vito's arrival at ellis island in 1901 to the lake tahoe empire of 1958, the story is a decades spanning saga that makes you wonder how almost three and a half hours can blow by so quickly. the picture's numerous flashback scenes work well to establish the beginnings of don corleone's rise to power, and robert de niro's portrayal of the young vito effectively allow us to forget about asking why marlon brando didn't show up even once. pacino is no longer the fresh faced kid home from the military who takes up the family business, but the brooding, brutal leader of a crime syndicate with a chessboard strategy of staying two and three steps ahead of his enemies at all times. if you haven't seen the movie in a long time, you might be surprised like i was while watching today. it's easy to recall the highlights like frank pentangeli's courtroom scene and subsequent suicide, and the way fredo met his timely demise. what i had long forgotten was the way the picture opens with the sicilian back story, and the way the new york neighborhood flashback thread literally runs throughout the entire picture. it's funny how i recall those scenes as a single sequence leading up to the murder of don fanucci, but it just goes to show you how faulty memory can be. you know, it's hard to believe that the first two godfather movies are nearing the forty year mark since their original release. they've become american classics that have well withstood the test of time, and will continue maintain their appeal. it's fair to say that seeing both of these iconic films are a must for the true cinema fan.";10 April 2010;10;['difficult', 'original', 'brilliant', 'corleone', 'numerous', 'young', 'fresh', 'faced', 'brutal', 'long', 'surprised', 'easy', 'subsequent', 'timely', 'entire', 'funny', 'single', 'faulty', 'hard', 'first', 'original', 'american', 'fair', 'iconic', 'true'];0.1354875283446712
9;lee_eisenberg;"everyone has probably heard that ""the godfather: part ii"" is as good as the original, and it's true. perhaps it's better, that's debatable. picking up where the first film left off, we see the corleones' control over las vegas. also, michael (al pacino) gets involved with hyman roth (lee strasberg), one of his father's former cohorts. meanwhile, in flashbacks, we see young vito andolini immigrate from the town of corleone, sicily, to new york city in the early 20th century. as he ages (the adult vito is played by robert deniro), vito becomes increasingly involved in mafia business. the climax (at least in my opinion, it was the climax) happens in cuba on new year's eve in 1958. you may recall that the mafia helped prop up fulgencio batista and his reign of terror. anyway, while michael and fredo (john cazale) are at a party at the presidential palace, michael angrily yells at fredo ""i know it was you, fredo! you broke my heart!"" at that moment, just as it turns into 1959, the revolutionary forces enter havana, proclaiming the revolution's victory. the combination of these two events shows that things won't be the same anymore, whether in the corleone family or in cuba. to be certain, kay (diane keaton) has some unexpected news for michael when he returns home. the point is, this movie disproves the notion that all sequels suck. this sequel is a masterpiece, with splendid performances by pacino, keaton, deniro, cazale, strasberg, robert duvall and talia shire. but of course, most of all, this movie's superbness owes to director francis ford coppola. he knows exactly how to make a movie, and don't let anyone tell you otherwise. 10/10.";26 July 2005;10;['good', 'original', 'true', 'well', 'debatable', 'first', 'former', 'young', 'early', 'least', 'new', 'presidential', 'revolutionary', 'same', 'corleone', 'certain', 'unexpected', 'splendid', 'talia', 'most'];0.2399273345701917
