id;user;comment;date;mark;adjectives;polarity
0;MartinHafer;"while i have given some pretty long reviews to clint eastwood's westerns--particularly the wonderful fistful of dollars and for a few dollars more, i will only give a brief review of this movie because there are so many reviews already i doubt if my pontificating will actually influence many people. after all, this is widely seen as one of the greatest westerns ever made and since i liked it immensely, there isn't much need to say more. well, there are actually a few westerns i liked a bit more--i am a huge fan of the big country. but, when it comes to style, originality and the epic proportions of this film, none can match it, though once upon a time in the west comes very, very close. the acting and script are just fine and the music is intensely weird but effective. of all the films i have seen with music by ennio morricone, this is his most intense and strangest. and it works perfectly in this film, but i also appreciate much of his more restrained work in other films and would never want all westerns to have such distinctive and bizarre music as in the good, the bad and the ugly--it would just lose its magic and might even tend to overwhelm the film. about the only negatives about this film are the title and it is a pretty violent film that the little ones probably shouldn't watch. there is a lot of blood and violence and you do get to see (yuck) eli wallach's butt. as for the title, sure, lee van cleef was truly ""bad"" and eli wallach was cure ""ugly"", but clint as ""the good""? well, his character was far from good--but of course, who would like the title to be ""the kinda good, the bad and the ugly""?! not to be missed by any serious fan or the genre.";23 August 2006;10;['long', 'wonderful', 'few', 'brief', 'many', 'many', 'great', 'much', 'more', 'few', 'more', 'huge', 'big', 'epic', 'close', 'fine', 'weird', 'effective', 'intense', 'strange', 'much', 'restrained', 'other', 'such', 'distinctive', 'bizarre', 'bad', 'ugly', 'only', 'violent', 'little', 'bad', 'cure', 'ugly', 'good', 'good', 'kinda', 'bad', 'ugly', 'serious'];0.0256127450980392
1;TheLittleSongbird;well what do you know? another amazing movie from sergio leone. the good, the bad and the ugly has so much good about it, and quintessentially it is one of the best westerns ever made. there may be nothing new about the story at first glance, but that's the point, leone is paying homage to the hollywood western, and despite the initial simplicity there is also a complexity mainly in the film's characters. regardless of whether simple or complex it is, the good, the bad and the ugly does have a compelling and brilliantly written story. but there are other assets that make the good, the bad and the ugly so good. the dialogue is always excellent, while leone's direction is superb once again. the characters are great and are superbly played. clint eastwood gives one of his best performances ever here, and eli wallach is perfectly cast and more than a match for him. i was also very impressed with lee van cleef, who i recognised from high noon and such, but he makes a bigger impression here. the good, the bad and the ugly is also the most violent of the trilogy, and one of the most violent of the genre, not a bad thing whatsoever. the pace was spot on too, even though the film is nearly three hours long, it is never boring or dull. the best things though about the good, the bad and the ugly are the visuals and ennio morricone's score. the film looks amazing, the cinematography is gorgeous and the sweeping images and scenery are very lovingly crafted. morricone's score is even more impressive than that, it is simply one of the best film scores i've ever heard, and if i had to say which was morricone's best score, i would immediately say this. overall, there is nothing bad or ugly about the film. the film is amazing. 10/10 bethany cox;9 January 2011;10;['amazing', 'bad', 'ugly', 'good', 'good', 'new', 'first', 'initial', 'simple', 'complex', 'bad', 'ugly', 'compelling', 'other', 'bad', 'ugly', 'good', 'excellent', 'superb', 'great', 'good', 'more', 'impressed', 'high', 'such', 'big', 'bad', 'ugly', 'violent', 'violent', 'bad', 'boring', 'dull', 'good', 'bad', 'ugly', 'amazing', 'gorgeous', 'sweeping', 'impressive', 'good', 'good', 'bad', 'ugly', 'amazing'];0.0256749311294766
2;bkoganbing;bearing in mind that i think westerns are an american art form and i have an aversion to the european made ones, sergio leone's the good the bad and the ugly has a lot to recommend it. not the least of which the impact it had on clint eastwood's career making him an american icon. the good the bad and the ugly follows an odyssey of three men, two of them a pair of lowlifes and the third no better than he ought to be in a search for buried gold. it's quite the odyssey that clint eastwood, eli wallach, and lee van cleef in those title roles have in search of the loot. a minor theater of the civil war is operating in the west and all of them get caught up in it as well. clint eastwood developed and honed his laconic and cynical character who was in fact a good guy. which gives you some idea of the bad guys he faced in his western films. note that clint eastwood also never returned to the spaghetti western after this film. van cleef is his usual mean self, perhaps exponentially so. one thing about him is that he's a hired killer with a strong work ethic so i guess that counts for something. when he takes a contract he follows through. as for wallach he dusts off his mexican bandit characterization that served him so well in the magnificent seven is dusted off and embellished. at one point he's got eastwood at his sadistic mercy, but when he learns of the loot, wallach's greed gets the better of him. i don't consider this the great classic that many do, but the good the bad and the ugly will satisfy most western fans.;7 October 2015;6;['american', 'bad', 'ugly', 'least', 'american', 'good', 'bad', 'third', 'well', 'minor', 'civil', 'laconic', 'cynical', 'good', 'bad', 'western', 'western', 'usual', 'mean', 'strong', 'mexican', 'magnificent', 'sadistic', 'well', 'great', 'many', 'good', 'bad', 'ugly', 'most', 'western'];-0.0145833333333333
3;Leofwine_draca;"leone's conclusion to his dollars trilogy once again shows how he had progressed as a director from the previous two films - with his style now evident and developed, his pacing slowed down to a gentle speed and exactly the right combination of editing, photography, and art direction, leone was ready to make what many consider to be his greatest film - once upon a time in the west. unfortunately, the good, the bad and the ugly is sometimes overlooked in place of that film, and although it's only the third of a trilogy, the film still has an epic feel to it. this film's main benefit over the previous two is ennio morricone's score. while his music was very good in a fistful of dollars and for a few dollars more, here it becomes the stuff of legend and one of most recognised western tunes ever written; it's also by and far morricone's best ever work, to this day. leone retains the solid eastwood from the previous two films and also brings back lee van cleef, this time playing a bad guy (unfortunately - i prefer his heroes to his villains as i like the guy). most screen time, though, is given to the magnificent seven's eli wallach, who is also excellent as the wanted criminal tuco, a man who lives by his wits and courage and isn't afraid to take risks. eastwood plays his role to perfection, as he should with so much practice. he gets to say some well-remembered lines such as ""there are two kinds of people in this world, my friend..."" van cleef is exceptionally evil and sadistic as the villain of the piece, my only complaint is that he has relatively little screen time in comparison to the other two main stars and thus feels slightly underused. also appearing are some familiar faces like luigi pistilli and rada rassimov. the plot is a wider and more political one than before, as it shows how the civil war intruded upon the quiet serenity of the old west. the brief battle scenes we do see are sweeping and epic, up there with the best put on film. leone's direction is stylish and a work of genius, and he serves up a number of odd, memorable situations. these include a shoot-out in a bombed town, complete with blackened smoking ruins; an ingenious way to remove handcuffs; and the blowing up of a bridge. the scene is also set for one of the best sequences in cinema; the confrontation between wallach, van cleef, and eastwood in the cemetery at the film's end. here, the music, quick photography (close-ups of people's eyes, etc.) and acting combine to make this one of the coolest, most tense showdowns in history. one must not forget the element of comedy which leone also uses to make the film lighter and more enjoyable; he succeeds well. definitely one of the best spaghetti westerns out there.";23 July 2016;10;['previous', 'evident', 'gentle', 'right', 'ready', 'many', 'great', 'bad', 'ugly', 'epic', 'main', 'previous', 'good', 'few', 'western', 'good', 'solid', 'previous', 'bad', 'most', 'magnificent', 'excellent', 'wanted', 'criminal', 'afraid', 'much', 'such', 'evil', 'sadistic', 'only', 'little', 'other', 'main', 'underused', 'familiar', 'wide', 'political', 'civil', 'quiet', 'old', 'brief', 'sweeping', 'epic', 'good', 'stylish', 'odd', 'memorable', 'complete', 'ingenious', 'good', 'quick', 'close', 'cool', 'tense', 'light', 'enjoyable', 'good'];0.134297619047619
4;SnoopyStyle;the good blondie (clint eastwood), the bad sentenza (lee van cleef), and the ugly tuco (eli wallach) are racing to find buried gold during the civil war. blondie and tuco had a scam where blondie would bring in tuco for the reward. just when tuco is about to be hanged, blondie would shot tuco down off the noose. except the last time when blondie double crossed tuco and left him behind. so comrades in crime turn into enemies. just as blondie is about to be killed by tuco, blondie hears a name from a dead soldier. that name leading to the buried gold. so enemies become comrades in crime once again. the action is bigger than before. the scale of the movie is bigger. the number of people is bigger. the sets are bigger. the battle scene is gigantic. but it's eli wallach that steals the show. he is able to bring humor into this movie. he and clint really have great chemistry together.;21 September 2013;9;['bad', 'ugly', 'civil', 'about', 'last', 'about', 'dead', 'big', 'big', 'big', 'big', 'gigantic', 'able', 'great'];-0.0299999999999999
5;Hitchcoc;"since there isn't much original that i can add, i just want to make sure that no stone is unturned. the three principles in this epic are so well developed. there are no really ""good"" guys, despite the title. but they are so well drawn that we are intrigued by the clash of spirits. it is very much like reading the iliad. when achilles dons the armor, he is going after another hero and must defeat one he respects. here, respect may be the wrong word, but viable adversaries have a kind of sense of immovable object and irresistible force. there is so much violence and so many confrontations, it works so well. it, of course, got us away from the horse opera, or even the white hat of john wayne (not to diminish the joy of those films) and created an opening for the anti-hero. what a piece of cinema.";14 August 2019;10;['much', 'original', 'sure', 'unturned', 'developed', 'good', 'wrong', 'viable', 'immovable', 'irresistible', 'much', 'many', 'white', 'anti'];0.2392857142857142
6;Horst_In_Translation;"""il buono, il brutto, il cattivo"" or ""the good, the bad and the ugly"" is an italian co-production that is in the original also in the english language and was released back in 1966, so this one is over half a century old now already, which sadly means that almost all of the people working on it are (long) gone. but first things first. the director here is sergio leone and he is also one of many people working on the screenplay here. the movie runs for considerably over 2 hours and there are many versions out there, one of them even crossing the 3-hour mark. the cast includes many well-established actors and the big name by today's standards is of course clint eastwood who was in his mid-30s when this was made. maybe eli wallach (who almost turned 100 before his death not too long ago) is also still known to many and maybe even lee van cleef, who did not get as old as the other two. these three play the main characters in this movie we got here, the three mentioned in the title. and there is a nice introduction so we know who is who. and the ugly even gets another quick mention near the end, maybe because his one at the beginning was so short. honestly we learn a lot more about the ugly in the introduction of the good than in his own introduction. or maybe he gets the one at the end because in my opinion he was just the most memorable of the three and eli wallach also gave the best performance in the movie. already how effortlessly he looked like a hispanic was impressive because he really was a jew. and he is also the one who kept this film from becoming too serious because his character always brought in some comedy value and even during these moments when eastwood makes a short funny one-liner like along the lines of ""idiots they are talking to you"" wallach is present and his body language adds a lot to the fun element. but people should not mistake tuco for a fool. he may not be educated or a leader, but he makes up for it with grit determination and also ruthlessness. and there is also a soft side to him, he is not as cold-blooded as sentenza, who would kill anybody if he had to. tuco's soft side is especially brought out by his brother as we see during one scene and despite being a ruthless killer he believes in god and salvation it seems. he also mostly really only kills those who did something bad to him first, such as eastwood's character, but also sentenza's big henchman. sentenza really has no mercy for anybody and he is also a schemer unlike tuco. a really dangerous man, who still is a man of his word. when he makes a contract, he fulfills it. you could also call him talented when it comes to upping the ranks as you see when the two more central characters get caught in a funny sequence that involves a lot of dust. but like i said nobody here delivers the comedy as good as tuco/wallach. even if he goes over the top, it is still hilarious to watch and never feels out of place. the best example is really the scene when he all of a sudden acts like a best friend to blondie to find out the name of the grave where the treasure is hidden. by the way, i also liked at the very end that there was an actual treasure and not just some meaningful message a la ""the biggest treasure is friendship"" or so. there is none of that anyway. the three-men shootout shows it best. it is a matter of life and death. honestly if the other two, especially tuco, had been as smart as blondie they could have guessed where the treasure really is. there must be a reason he knows the name and surely it is not that the name he mentions was a deceased friend or so. also makes sense blondie does not tell tuco the real name, he is too smart for that, just like the empty name on the stone. also pretty fitting that the treasure is in the grave of an unknown soldier in terms of the political message the movie sends. it takes place during the days of the civil war and there is one lengthy sequence when tuco and blondie are led along by a captain and this is the one occasion during which the focus is not really on these two, but on the pointlesssness of war back then just like today. the bridge is the best example. they won't fight for it, but just go elsewhere and fight if it is gone. it's pretty deep and telling how the captain waits for the bridge to be destroyed and smiles before he passes. so yeah this was interesting because the sequence felt so different compared to the rest of the movie, but still it felt like an essential inclusion nonetheless. basically i could really write a novel about every single scene here. other people have said it correctly that each and every one of them adds a lot. also the small characters are memorable like the fat henchman i already mentioned. or the guy who lost a hand and wants his revenge on tuco and probably half a dozen other characters who maybe would have deserved their own movie. but good that these three got it. actually, in the german title there are only two characters mentioned and called something like crooks. i still prefer the three, even if sentenza / angel eyes is not as much in the center as the other two. now finally a few words on blondie as a big eastwood fan. he was coolness personified, but not an invincible superhero as you see from how he is tricked by tuco during the spikes scene and even if he gets away there, tuco gets him again, which shows you he knows how to get his revenge. during the lengthy desert scene he really suffers badly, but still most of the time he is nicely in control of it all. a really memorable character we got here, even if maybe how he is depicted with baby kittens was slightly too much. we get it he's the good guy, the only one really with morals and nonetheless as relentless and determined as the other two. that he cares at least a bit for other people is shown in the scene when he has too say goodbye to shorty when he found another partner in crime for his bounty hunting scam. he was not as blond as i thought he was though that he deserved the nickname. i watched this movie as part of a retrospective on ennio morricone and it was a truly nice experience. it was not the first time i saw it and honestly it did not take away any of the quality, or almost none, that i basically knew the key plot points, even if it has been a long time since i saw it. so yeah i already mentioned morricone, his soundtrack here is really as defining as it gets for the western genre which was also proved by the people dancing and moving in their seats in my showing every time the soundtrack was heard and so is the movie itself. no doubt most people consider this one of the five finest western movies ever made, if not the number one even. and i can see where they are coming from. really almost everything works out about this one, also the sound side away from the music, be it the effects of running horses or gunfire you just really felt inside the movie. what did not work out was wallach's and everybody else's glaring omission from awards bodies. oh yeah also this is one of the westerns that has no female love interest for the protagonist(s). the woman you see in bad's presentation for example is all you get. and that is perfectly fine and enough. i give it a big thumbs-up and it is a definite contender for best film of 1966. highly recommended.";2 August 2019;8;['bad', 'ugly', 'italian', 'original', 'english', 'old', 'long', 'first', 'many', 'many', 'many', 'big', 'many', 'old', 'other', 'main', 'nice', 'ugly', 'quick', 'short', 'more', 'ugly', 'good', 'own', 'memorable', 'good', 'impressive', 'serious', 'short', 'funny', 'present', 'soft', 'cold', 'blooded', 'soft', 'ruthless', 'bad', 'such', 'big', 'dangerous', 'talented', 'more', 'central', 'funny', 'good', 'hilarious', 'good', 'sudden', 'good', 'very', 'actual', 'meaningful', 'big', 'other', 'tuco', 'smart', 'deceased', 'real', 'smart', 'empty', 'fitting', 'unknown', 'political', 'civil', 'lengthy', 'good', 'deep', 'interesting', 'different', 'essential', 'single', 'other', 'small', 'memorable', 'fat', 'other', 'own', 'good', 'german', 'sentenza', 'much', 'other', 'few', 'big', 'invincible', 'lengthy', 'most', 'memorable', 'much', 'good', 'only', 'relentless', 'other', 'least', 'other', 'blond', 'retrospective', 'nice', 'first', 'key', 'long', 'western', 'most', 'fine', 'western', 'glaring', 'female', 'bad', 'fine', 'enough', 'big', 'definite', 'good'];0.1334821428571428
7;claudio_carvalho;"three bad guys the chaser of rewards joe (clint eastwood), the outlaw tuco (eli wallach) and the very bad assassin angel eyes become aware of a fortune of us$ 200,000.00 in golden coins, hidden in a cemetery. only joe knows the name of the grave, therefore there is a great dispute between the two gunmen, but always keeping joe alive. this is a really classic western movie. this movie has never been released on vhs in brazil, and only now the distributor fox do brasil' released on dvd format. i am a great fan of sergio leone, and the first dvd i bought for my collection was 'once upon the time in america'. 'the good, the bad and the ugly' is great in all aspects: the story is very funny, the actors have great performances, and the soundtrack from enio morricone is unforgettable: it is certainly one of the most beautiful and known in the cinema history. this movie is really a great entertainment. my vote is eight. title (brazil): ""tres homens em conflito"" (""three men in conflict"")";16 November 2003;8;['bad', 'bad', 'aware', 'golden', 'great', 'alive', 'classic', 'western', 'great', 'first', 'bad', 'ugly', 'great', 'funny', 'great', 'unforgettable', 'beautiful', 'great'];0.2314814814814815
8;classicsoncall;"i guess i find myself somewhat in the middle on this film, i enjoyed it to a point, but i don't get the sense that this is one of the greatest westerns ever, and the western is my favorite movie genre. i much prefer a good psychological western between complex antagonists, eastwood's own ""unforgiven"" would be an example. this was more a straightforward tale of three desperadoes consumed by greed who attempt to outwit each other on the trail to an unknown grave containing two hundred thousand dollars in gold coin. each though, earns their respective title credit in the story, even if eastwood's blondie might be the 'good' simply based on his classically rugged features. more on the plus side, it was really cool to hear the title theme music expressed in a handful of different ways throughout the story. the picture also captured the gritty realism of what the 1860's wild west was probably a lot like. you know, the more films i see of cowboys out in the desert days at a time with no access to soap and water, i start to wonder if they'll ever produce a picture that captures the fresh aroma of that experience. it's one thing to hear tuco accused of smelling like a pig, but to actually get the full flavor of that would really be something. then again, theater goers would never make it to the end of the picture - oh well for that idea. as for the film's length, i too side with those that feel it took a long time to get from point a to point b. i'm really wondering if it was necessary to bring in the civil war battle for that bridge, but it did give rise to perhaps the most meaningful scene in the picture for me. watching blondie try to ease the soldier's death with his coat and a smoke was a masterful touch. you know, i could probably go so far as to put this film in the top twenty westerns of all time, but it's position at #4 in the imdb top rankings of all pictures (as i write this) is just too much of a stretch. that's probably the reason i find myself going to that page less and less, and watching movies of all types more and more.";20 September 2007;8;['great', 'western', 'favorite', 'good', 'psychological', 'complex', 'own', 'unforgiven', 'straightforward', 'other', 'unknown', 'gold', 'respective', 'good', 'rugged', 'cool', 'different', 'gritty', 'wild', 'more', 'fresh', 'full', 'long', 'necessary', 'civil', 'meaningful', 'masterful', 'top', 'top', 'much', 'less', 'less', 'more'];0.263095238095238
9;lee_eisenberg;"the conclusion of the dollars trilogy lets eastwood, van cleef and wallach get tough. ""il buono, il brutto, il cattivo"" (""the good, the bad and the ugly"" in english) is more of an epic than the first two, but no less intense. is there a way to watch the whole end sequence and not feel your heart flutter? even if you haven't seen the movie, you've probably heard the pulse-pounding theme song. it's one of the most iconic pieces of music ever (not surprisingly, quentin tarantino hired ennio morricone to do the music for ""django unchained""). it matches up perfectly with the setting and action. that plus the subtle performances and sergio leone's masterful direction make this one movie that everyone should see.";23 August 2021;10;['tough', 'bad', 'ugly', 'more', 'first', 'intense', 'whole', 'iconic', 'subtle', 'masterful'];0.0527777777777777
